time	MFCC
0.000	[0.095627593989271981, -0.081617006395705266, -0.066426552025483407, -0.027275915790451886, -0.01622896795407066, -0.0014394914558918661]
3.529	[0.025562713998780909, -0.10186521045740513, -0.12151863903607484, -0.10666048722593968, -0.044578606326427767, 0.010032171855140593]
3.669	[0.0068276940160027595, -0.066735973011574273, -0.067543722552100074, -0.060832944671505407, -0.05218799308557176, -0.020168610561540748]
5.317	[0.020636509445048329, -0.08216231701822585, -0.079753146189081525, -0.018629028703866322, 0.005210449288253839, -0.011088905729972648]
10.797	[0.045275466761076646, -0.11404419801132085, -0.064551303168330715, -0.037418904830505098, 0.0063884164468960575, -0.030671338625257345]
14.118	[0.062027982816362313, -0.024226090781207271, 0.029249514844507055, 0.069607232668539798, 0.016860367226548913, -0.012594394719901829]
14.187	[-0.0098079373875190595, -0.053656137174737321, 0.0054602649070408437, 0.059494879290578007, 0.042442696967569825, -0.032285446441786679]
14.303	[-0.0011279108758520139, -0.051837777202149438, 0.01615859778255942, 0.046749165799888644, 0.0304443175050522, -0.0059121925108377984]
14.559	[0.17339358411412209, -0.17354513142490818, -0.074133082180102852, 0.078944891290663066, 0.081382849376971073, 0.0074832189424243346]
14.698	[0.2020089702339444, -0.11001379201206897, -0.12110013543337952, 0.069862888919126842, 0.1131369539541671, 0.044646022007403044]
14.814	[0.13874486465167477, -0.1444153531647788, -0.087094212038299978, 0.0041650969394810495, -0.037320894455716715, 0.049911279823268651]
15.047	[0.28533544755887619, -0.15534532431046194, -0.16659820747025014, -0.067707028397112359, -0.09528620591281052, -0.026729548942720366]
15.070	[-0.0013999111992484294, -0.13583684915724434, -0.12148002894001825, -0.037147613260545186, -0.012648691065755179, 0.017795821751815051]
15.256	[0.063795292520369279, -0.10771299938657541, -0.13249725502500359, -0.0303062878126459, 0.010106168092658395, 0.031942229671406211]
15.395	[0.016335074012136158, -0.13872992563563208, -0.041372391209969411, 0.0016930775979882259, -0.0056561669145288544, 0.025059740292746321]
15.488	[0.045528708752877921, -0.12478171558477019, -0.029954332522442537, 0.01751867100789176, -0.0095115518202323578, 0.092641800466295651]
15.534	[0.029241422175296541, -0.13593729890640835, -0.055141141919543023, 0.026226060541265889, -0.0038831791106758019, 0.0044749982741492415]
15.859	[0.069070772116001253, -0.013529640183892286, 0.062403918496129106, 0.075949533228408583, -0.026958428553548817, 0.020958606667911061]
