time	RMS
0.000	0.137
3.529	0.284
3.669	0.200
5.317	0.149
10.797	0.099
14.118	0.658
14.187	0.892
14.303	0.861
14.559	0.812
14.698	0.738
14.814	0.522
15.047	0.540
15.070	0.673
15.256	0.771
15.395	0.615
15.488	0.578
15.534	0.419
15.859	0.436
15.929	0.995
15.999	0.611
16.254	0.538
16.347	0.487
16.625	0.427
16.742	0.596
16.811	0.284
17.694	0.551
17.740	0.776
17.903	0.649
17.972	0.601
18.135	0.496
18.390	0.537
18.483	0.540
18.553	0.587
18.692	0.646
18.971	0.764
19.040	0.515
19.342	0.346
19.505	0.834
19.644	0.808
19.783	0.699
19.992	0.507
20.225	0.456
20.457	0.409
20.666	0.283
20.828	0.185
21.153	0.349
21.269	0.720
21.386	0.709
21.478	0.770
21.595	0.629
21.757	0.637
22.013	0.597
22.129	0.553
22.314	0.516
22.454	0.535
22.570	0.448
22.802	0.534
23.011	0.760
23.174	0.583
23.359	0.570
23.615	0.524
23.824	0.601
23.940	0.520
24.102	0.338
24.358	0.276
24.567	0.424
24.776	0.622
24.985	0.447
25.217	0.368
25.449	0.295
25.612	0.391
25.658	0.754
25.751	0.542
25.867	0.460
26.076	0.399
26.215	0.209
27.005	0.358
27.353	0.317
27.446	0.603
27.516	0.498
27.678	0.369
27.771	0.302
27.934	0.221
28.282	0.677
28.375	0.888
28.584	0.750
28.793	0.588
28.979	0.477
29.211	0.655
29.396	0.548
29.513	0.492
29.745	0.507
29.931	0.393
30.093	1.000
30.163	0.563
30.418	0.441
30.720	0.425
30.883	0.589
31.022	0.566
31.115	0.390
31.254	0.237
31.347	0.173
31.858	0.638
31.904	0.724
32.044	0.725
32.253	0.642
32.392	0.523
32.694	0.582
32.717	0.587
33.019	0.382
33.065	0.320
33.228	0.442
33.297	0.227
33.622	0.482
33.669	0.933
33.831	0.879
33.901	0.743
34.180	0.594
34.342	0.699
34.644	0.623
34.807	0.396
35.016	0.276
35.364	0.546
35.434	0.655
35.573	0.636
35.805	0.677
35.852	0.500
36.130	0.362
36.200	0.378
36.316	0.621
36.455	0.535
36.688	0.505
36.989	0.522
37.129	0.848
37.245	0.688
37.523	0.564
37.686	0.548
37.756	0.534
38.034	0.499
38.127	0.592
38.290	0.598
38.522	0.501
38.708	0.466
38.777	0.439
38.940	0.692
39.102	0.574
39.219	0.504
39.404	0.432
39.636	0.418
39.776	0.590
39.845	0.786
39.985	0.547
40.147	0.315
40.496	0.274
40.658	0.202
41.169	0.651
41.239	0.476
41.424	0.366
41.564	0.509
41.726	0.415
41.866	0.672
42.075	0.614
42.167	0.505
42.376	0.589
42.493	0.849
42.632	0.695
42.701	0.536
42.934	0.304
43.282	0.403
43.421	0.669
43.514	0.601
43.723	0.368
43.909	0.340
44.071	0.450
44.280	0.688
44.536	0.380
44.745	0.602
44.907	0.550
45.116	0.640
45.140	0.677
45.256	0.464
45.372	0.233
46.022	0.778
46.138	0.669
46.347	0.539
46.463	0.564
46.649	0.594
46.928	0.662
47.137	0.346
47.392	0.592
47.485	0.600
47.787	0.745
47.972	0.743
48.112	0.660
48.344	0.506
48.437	0.507
48.715	0.634
48.762	0.629
48.901	0.513
49.041	0.426
49.203	0.310
49.482	0.537
49.691	0.799
49.900	0.505
50.039	0.538
50.271	0.716
50.434	0.776
50.689	0.645
50.921	0.576
50.991	0.550
51.130	0.691
51.339	0.782
51.618	0.647
51.757	0.660
51.966	0.521
52.198	0.797
52.291	0.887
52.361	0.426
52.663	0.453
52.733	0.487
52.825	0.367
53.127	0.737
53.197	0.670
53.406	0.645
53.499	0.642
53.824	0.665
54.033	0.528
54.079	0.442
54.404	0.388
54.451	0.707
54.683	0.675
54.846	0.626
54.915	0.547
55.124	0.507
55.449	0.374
55.774	0.581
55.867	0.395
56.123	0.463
56.378	0.483
56.424	0.377
56.703	0.746
56.819	0.712
56.959	0.505
57.121	0.599
57.330	0.478
57.493	0.598
57.609	0.589
57.887	0.627
58.096	0.677
58.143	0.362
58.421	0.820
58.584	0.562
58.886	0.501
59.025	0.398
59.141	0.305
59.397	0.362
59.443	0.350
59.606	0.253
60.070	0.270
60.209	0.745
60.372	0.484
60.465	0.604
60.720	0.507
60.836	0.498
61.092	0.607
61.185	0.623
61.440	0.706
61.510	0.715
61.742	0.697
61.997	0.829
62.229	0.707
62.369	0.715
62.601	0.494
62.880	0.568
62.973	0.610
63.042	0.299
63.576	0.224
63.623	0.493
