time	ZC
0.000	0.062
3.529	0.057
3.669	0.050
5.317	0.063
10.797	0.107
14.118	0.148
14.187	0.093
14.303	0.071
14.559	0.059
14.698	0.164
14.814	0.248
15.047	0.184
15.070	0.093
15.256	0.056
15.395	0.083
15.488	0.122
15.534	0.096
15.859	0.089
15.929	0.071
15.999	0.113
16.254	0.141
16.347	0.155
16.625	0.167
16.742	0.089
16.811	0.080
17.694	0.068
17.740	0.134
17.903	0.144
17.972	0.159
18.135	0.114
18.390	0.066
18.483	0.067
18.553	0.080
18.692	0.064
18.971	0.069
19.040	0.080
19.342	0.751
19.505	0.067
19.644	0.049
19.783	0.081
19.992	0.105
20.225	0.075
20.457	0.086
20.666	0.064
20.828	0.069
21.153	0.041
21.269	0.067
21.386	0.087
21.478	0.095
21.595	0.107
21.757	0.066
22.013	0.055
22.129	0.149
22.314	0.193
22.454	0.132
22.570	0.137
22.802	0.133
23.011	0.086
23.174	0.110
23.359	0.121
23.615	0.085
23.824	0.097
23.940	0.118
24.102	0.087
24.358	0.080
24.567	0.105
24.776	0.054
24.985	0.052
25.217	0.056
25.449	0.043
25.612	0.042
25.658	0.041
25.751	0.041
25.867	0.049
26.076	0.047
26.215	0.046
27.005	0.021
27.353	0.025
27.446	0.028
27.516	0.026
27.678	0.029
27.771	0.045
27.934	0.112
28.282	0.232
28.375	0.066
28.584	0.065
28.793	0.063
28.979	0.118
29.211	0.102
29.396	0.284
29.513	0.106
29.745	0.100
29.931	0.390
30.093	0.048
30.163	0.103
30.418	0.167
30.720	0.208
30.883	0.132
31.022	0.087
31.115	0.073
31.254	0.388
31.347	0.111
31.858	0.104
31.904	0.109
32.044	0.132
32.253	0.144
32.392	0.094
32.694	0.108
32.717	0.120
33.019	0.633
33.065	0.215
33.228	0.101
33.297	0.099
33.622	0.036
33.669	0.060
33.831	0.067
33.901	0.068
34.180	0.082
34.342	0.062
34.644	0.056
34.807	0.059
35.016	0.056
35.364	0.065
35.434	0.077
35.573	0.126
35.805	0.120
35.852	0.271
36.130	1.000
36.200	0.697
36.316	0.087
36.455	0.096
36.688	0.094
36.989	0.106
37.129	0.075
37.245	0.105
37.523	0.148
37.686	0.146
37.756	0.125
38.034	0.112
38.127	0.073
38.290	0.052
38.522	0.065
38.708	0.057
38.777	0.112
38.940	0.084
39.102	0.089
39.219	0.064
39.404	0.064
39.636	0.056
39.776	0.049
39.845	0.040
39.985	0.042
40.147	0.042
40.496	0.041
40.658	0.047
41.169	0.047
41.239	0.035
41.424	0.037
41.564	0.082
41.726	0.412
41.866	0.116
42.075	0.143
42.167	0.079
42.376	0.077
42.493	0.116
42.632	0.113
42.701	0.119
42.934	0.117
43.282	0.443
43.421	0.099
43.514	0.089
43.723	0.079
43.909	0.075
44.071	0.075
44.280	0.066
44.536	0.187
44.745	0.131
44.907	0.126
45.116	0.092
45.140	0.073
45.256	0.062
45.372	0.073
46.022	0.089
46.138	0.134
46.347	0.119
46.463	0.110
46.649	0.117
46.928	0.084
47.137	0.104
47.392	0.153
47.485	0.176
47.787	0.073
47.972	0.146
48.112	0.070
48.344	0.125
48.437	0.169
48.715	0.110
48.762	0.066
48.901	0.065
49.041	0.059
49.203	0.096
49.482	0.491
49.691	0.185
49.900	0.111
50.039	0.132
50.271	0.163
50.434	0.160
50.689	0.149
50.921	0.161
50.991	0.131
51.130	0.176
51.339	0.134
51.618	0.118
51.757	0.128
51.966	0.081
52.198	0.126
52.291	0.142
52.361	0.091
52.663	0.117
52.733	0.159
52.825	0.117
53.127	0.116
53.197	0.145
53.406	0.148
53.499	0.119
53.824	0.064
54.033	0.110
54.079	0.096
54.404	0.134
54.451	0.050
54.683	0.081
54.846	0.056
54.915	0.055
55.124	0.050
55.449	0.040
55.774	0.140
55.867	0.150
56.123	0.189
56.378	0.210
56.424	0.086
56.703	0.111
56.819	0.098
56.959	0.161
57.121	0.075
57.330	0.121
57.493	0.117
57.609	0.068
57.887	0.062
58.096	0.066
58.143	0.075
58.421	0.065
58.584	0.087
58.886	0.082
59.025	0.069
59.141	0.083
59.397	0.074
59.443	0.076
59.606	0.096
60.070	0.662
60.209	0.066
60.372	0.029
60.465	0.116
60.720	0.147
60.836	0.101
61.092	0.076
61.185	0.074
61.440	0.065
61.510	0.064
61.742	0.110
61.997	0.063
62.229	0.041
62.369	0.105
62.601	0.107
62.880	0.068
62.973	0.073
63.042	0.073
63.576	0.595
63.623	0.614
63.785	0.116
63.901	0.147
64.087	0.083
64.180	0.172
64.482	0.160
64.621	0.164
64.644	0.136
64.877	0.132
65.109	0.122
65.341	0.078
65.527	0.072
65.573	0.079
65.829	0.173
66.038	0.158
66.200	0.152
66.339	0.075
66.409	0.156
66.548	0.144
66.641	0.101
66.873	0.079
67.082	0.076
67.268	0.050
67.431	0.052
67.733	0.053
67.895	0.052
68.197	0.059
68.290	0.055
68.917	0.058
69.033	0.059
69.590	0.061
69.962	0.059
70.821	0.088
70.960	0.091
71.053	0.100
71.308	0.089
71.471	0.311
71.680	0.091
71.935	0.082
72.168	0.069
72.353	0.114
72.586	0.089
72.841	0.109
73.096	0.127
73.259	0.128
73.421	0.099
73.491	0.071
73.723	0.296
73.839	0.173
73.979	0.066
74.211	0.206
74.350	0.072
74.466	0.102
74.629	0.132
74.815	0.134
74.954	0.140
74.977	0.104
75.256	0.092
75.372	0.086
75.558	0.125
75.767	0.089
75.836	0.097
75.906	0.113
76.022	0.116
76.231	0.050
76.324	0.055
76.510	0.073
76.603	0.079
76.881	0.071
77.021	0.066
77.067	0.067
77.322	0.059
77.485	0.055
77.926	0.083
77.996	0.119
78.112	0.110
78.414	0.154
78.553	0.115
78.785	0.100
79.018	0.103
79.180	0.089
79.435	0.078
79.668	0.071
79.807	0.091
79.946	0.097
80.132	0.071
80.364	0.065
80.504	0.105
80.573	0.143
80.689	0.114
80.991	0.076
81.131	0.056
81.386	0.037
81.688	0.124
81.781	0.117
81.920	0.063
82.013	0.056
82.268	0.044
82.292	0.039
82.408	0.043
82.524	0.053
82.779	0.024
82.895	0.035
83.104	0.037
83.406	0.039
83.476	0.040
83.731	0.031
83.801	0.028
84.010	0.026
84.335	0.051
84.405	0.048
84.497	0.074
84.776	0.712
85.008	0.111
85.124	0.130
85.380	0.111
85.449	0.070
85.635	0.075
85.867	0.101
85.983	0.118
86.030	0.086
86.146	0.087
86.332	0.067
86.471	0.089
86.610	0.128
86.750	0.063
86.819	0.090
87.052	0.106
87.214	0.121
87.353	0.109
87.609	0.068
87.725	0.113
88.305	0.899
88.514	0.113
88.631	0.096
88.700	0.119
88.956	0.134
89.072	0.094
89.304	0.079
89.397	0.103
89.513	0.111
89.699	0.079
89.838	0.085
89.977	0.195
90.279	0.070
90.326	0.065
90.535	0.063
90.674	0.090
90.906	0.080
91.162	0.060
91.417	0.070
91.510	0.066
92.021	0.072
92.206	0.133
92.439	0.100
92.717	0.407
92.764	0.680
92.996	0.115
93.275	0.106
93.321	0.089
93.623	0.118
93.832	0.083
93.994	0.131
94.157	0.125
94.366	0.119
94.482	0.103
94.691	0.072
94.900	0.056
95.132	0.052
95.179	0.079
95.411	0.117
95.597	0.075
95.666	0.096
95.945	0.063
96.154	0.075
96.293	0.056
96.502	0.058
96.688	0.052
96.943	0.035
97.176	0.042
97.454	0.039
97.710	0.033
97.849	0.030
98.267	0.063
98.360	0.103
98.499	0.125
98.615	0.144
98.708	0.165
98.871	0.108
99.033	0.072
99.219	0.077
99.312	0.103
99.474	0.089
99.660	0.064
99.730	0.076
99.915	0.531
100.008	0.094
100.055	0.096
100.287	0.095
100.473	0.111
100.705	0.086
100.751	0.118
100.914	0.094
101.053	0.389
101.100	0.124
101.402	0.165
101.587	0.130
101.773	0.060
101.820	0.095
101.912	0.096
102.679	0.116
102.795	0.091
102.888	0.140
102.957	0.105
103.259	0.067
103.352	0.167
103.584	0.106
103.724	0.069
103.933	0.139
104.025	0.150
104.165	0.153
104.443	0.102
104.490	0.091
104.792	0.073
104.954	0.118
105.163	0.154
105.372	0.084
105.535	0.070
105.628	0.067
105.837	0.071
106.255	0.137
106.371	0.135
106.463	0.124
106.580	0.183
106.672	0.145
106.951	0.111
107.114	0.088
107.276	0.086
107.439	0.072
107.555	0.105
107.624	0.096
107.810	0.083
107.996	0.090
108.275	0.391
108.484	0.143
108.623	0.493
108.832	0.295
108.948	0.074
109.180	0.502
109.366	0.077
109.575	0.127
109.830	0.078
109.970	0.060
110.109	0.054
110.155	0.064
110.481	0.451
110.643	0.071
110.736	0.048
110.968	0.053
111.131	0.034
111.270	0.033
111.340	0.046
111.502	0.043
111.642	0.043
111.943	0.037
112.152	0.045
112.454	0.132
112.477	0.101
112.756	0.235
112.849	0.182
112.988	0.169
113.104	0.067
113.337	0.109
113.453	0.126
113.662	0.170
113.847	0.099
113.987	0.117
114.173	0.078
114.405	0.068
114.544	0.057
114.637	0.067
114.730	0.074
114.823	0.109
115.078	0.071
115.217	0.092
115.310	0.096
115.519	0.076
115.751	0.069
115.891	0.068
115.960	0.086
116.100	0.074
116.634	0.232
116.680	0.255
116.959	0.013
117.029	0.054
117.145	0.127
117.307	0.154
117.377	0.125
117.656	0.081
117.748	0.071
117.818	0.072
118.143	0.069
118.213	0.077
118.468	0.086
118.677	0.066
118.770	0.039
118.863	0.035
119.095	0.109
119.258	0.110
119.443	0.089
119.560	0.070
119.676	0.069
119.792	0.061
119.908	0.090
120.279	0.630
120.395	0.119
120.697	0.110
120.744	0.090
120.860	0.097
121.139	0.158
121.255	0.154
121.301	0.142
121.626	0.125
121.742	0.110
121.835	0.080
121.974	0.080
122.160	0.080
122.230	0.040
122.462	0.150
122.625	0.145
122.880	0.136
123.019	0.132
123.066	0.120
123.182	0.074
123.484	0.075
123.623	0.067
123.948	0.028
124.041	0.039
124.204	0.049
124.413	0.053
124.621	0.051
124.830	0.042
125.039	0.050
125.248	0.069
125.550	0.054
125.690	0.036
125.713	0.029
125.852	0.039
126.154	0.031
126.224	0.020
126.293	0.028
126.618	0.030
126.665	0.040
126.851	0.053
126.990	0.062
127.106	0.061
127.245	0.064
127.478	0.064
127.687	0.062
127.965	0.058
128.058	0.066
128.313	0.106
128.476	0.116
128.662	0.152
128.778	0.104
128.848	0.125
129.126	0.126
129.242	0.088
129.358	0.128
129.428	0.137
129.660	0.152
129.823	0.150
130.101	0.125
130.171	0.087
130.403	0.078
130.891	0.637
130.984	0.069
131.053	0.076
131.216	0.100
131.286	0.098
131.471	0.056
131.541	0.054
131.913	0.083
132.098	0.076
132.400	0.115
132.563	0.127
132.818	0.079
132.934	0.059
133.027	0.066
133.259	0.051
133.677	0.056
133.747	0.062
133.863	0.063
134.095	0.060
134.606	0.097
134.722	0.140
134.838	0.147
135.047	0.121
135.303	0.622
135.419	0.134
135.465	0.096
135.790	0.124
135.837	0.109
136.092	0.074
136.208	0.172
136.324	0.046
