time	type
1.214	2
1.665	1
2.108	1
2.546	1
2.985	2
3.429	1
3.874	1
4.318	1
4.764	2
5.210	1
5.661	1
6.113	1
6.564	2
7.008	1
7.452	1
7.899	1
8.348	2
8.796	1
9.244	1
9.690	1
10.140	2
10.592	1
11.039	1
11.481	1
11.926	2
12.372	1
12.822	1
13.268	1
13.711	2
14.161	1
14.611	1
15.055	1
15.498	2
15.942	1
16.393	1
16.846	1
17.295	2
17.740	1
18.187	1
18.634	1
19.081	2
19.529	1
19.973	1
20.419	1
20.869	2
21.320	1
21.765	1
22.209	1
22.652	2
23.096	1
23.533	1
23.969	1
24.407	2
24.843	1
25.277	1
25.698	1
26.126	2
26.565	1
27.007	1
27.454	1
27.902	2
28.353	1
28.810	1
29.259	1
29.706	2
30.148	1
30.584	1
31.027	1
31.465	2
31.897	1
32.342	1
32.788	1
33.237	2
33.692	1
34.137	1
34.577	1
35.022	2
35.455	1
35.879	1
36.299	1
36.713	2
37.129	1
37.553	1
37.978	1
38.408	2
38.843	1
39.280	1
39.718	1
40.159	2
40.597	1
41.036	1
41.475	1
41.918	2
42.359	1
42.794	1
43.239	1
43.688	2
44.139	1
44.589	1
45.031	1
45.477	2
45.929	1
46.377	1
46.824	1
47.269	2
47.721	1
48.178	1
48.627	1
49.076	2
49.520	1
49.959	1
50.393	1
50.818	2
51.245	1
51.680	1
52.115	1
52.554	2
52.992	1
53.437	1
53.885	1
54.328	2
54.774	1
55.221	1
55.667	1
56.117	2
56.564	1
57.012	1
57.458	1
57.898	2
58.341	1
58.783	1
59.221	1
59.658	2
60.095	1
60.533	1
60.968	1
61.398	2
61.835	1
62.278	1
62.725	1
63.171	2
63.623	1
64.076	1
64.530	1
64.977	2
65.420	1
65.861	1
66.302	1
66.741	2
67.185	1
67.630	1
68.074	1
68.515	2
68.961	1
69.408	1
69.859	1
70.306	2
70.750	1
71.191	1
71.629	1
72.059	2
72.490	1
72.924	1
73.364	1
73.814	2
74.268	1
74.719	1
75.163	1
75.605	2
76.048	1
76.490	1
76.929	1
77.369	2
77.811	1
78.258	1
78.708	1
79.156	2
79.600	1
80.039	1
80.471	1
80.904	2
81.343	1
81.784	1
82.225	1
82.666	2
83.106	1
83.552	1
84.000	1
84.443	2
84.882	1
85.322	1
85.765	1
86.214	2
86.668	1
87.122	1
87.582	1
88.049	2
88.519	1
88.989	1
89.451	1
89.902	2
90.346	1
90.784	1
91.218	1
91.654	2
92.094	1
92.541	1
92.997	1
93.459	2
93.922	1
94.379	1
94.829	1
95.277	2
95.724	1
96.169	1
96.611	1
97.056	2
97.506	1
97.955	1
98.399	1
98.840	2
99.285	1
99.738	1
100.190	1
100.639	2
101.087	1
101.535	1
101.983	1
102.422	2
102.852	1
103.280	1
103.709	1
104.143	2
104.582	1
105.025	1
105.473	1
105.920	2
106.366	1
106.814	1
107.261	1
107.701	2
108.136	1
108.572	1
109.013	1
109.457	2
109.900	1
110.340	1
110.784	1
111.229	2
111.671	1
112.110	1
112.547	1
112.985	2
113.428	1
113.873	1
114.317	1
114.762	2
115.208	1
115.651	1
116.089	1
116.524	2
116.958	1
117.394	1
117.830	1
118.270	2
118.717	1
119.168	1
119.619	1
120.070	2
120.519	1
120.971	1
121.421	1
121.864	2
122.304	1
122.745	1
123.185	1
123.629	2
124.072	1
124.512	1
124.953	1
125.394	2
125.836	1
126.279	1
126.722	2
127.164	1
127.610	1
128.061	1
128.512	2
128.966	1
129.421	1
129.880	1
130.342	2
130.807	1
131.272	1
131.737	1
132.202	2
132.665	1
133.124	1
133.576	1
134.023	2
134.469	1
134.915	1
135.361	1
135.810	2
136.260	1
136.707	1
137.148	1
137.586	2
138.027	1
138.464	1
138.898	1
139.335	2
139.780	1
140.226	1
140.671	1
141.114	2
141.557	1
141.999	1
142.435	1
142.868	2
143.306	1
143.745	1
144.178	1
144.610	2
145.049	1
145.494	1
145.940	1
146.387	2
146.837	1
147.291	1
147.740	1
148.182	2
148.623	1
149.068	1
149.512	1
149.952	2
150.391	1
150.835	1
151.280	1
151.715	2
152.146	1
152.580	1
153.020	1
153.464	2
153.907	1
154.352	1
154.803	1
155.256	2
155.698	1
156.134	1
156.575	1
157.020	2
157.462	1
157.903	1
158.343	1
158.789	2
159.238	1
159.685	1
160.131	1
160.580	2
161.031	1
161.481	1
161.931	1
162.385	2
162.839	1
163.292	1
163.741	2
164.189	1
164.634	1
165.073	1
165.506	2
165.938	1
166.366	1
166.795	1
167.229	2
167.670	1
168.120	1
168.567	1
169.013	2
169.468	1
169.927	1
170.384	1
170.837	2
171.287	1
171.736	1
172.184	1
172.630	2
173.074	1
173.512	1
173.945	1
174.377	1
174.814	1
175.242	1
175.669	1
