time	chordName	chordKey	chordMode	chordNotes
0.000	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
3.529	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
3.669	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
5.317	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
10.797	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
14.118	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
14.187	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
14.303	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
14.559	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
14.698	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
14.814	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
15.047	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
15.070	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
15.256	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
15.395	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
15.488	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
15.534	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
15.859	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
15.929	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
15.999	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
16.254	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
16.347	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
16.625	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
16.742	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
16.811	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
17.694	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
17.740	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
17.903	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
17.972	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
18.135	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
18.390	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
18.483	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
18.553	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
18.692	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
18.971	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
19.040	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
19.342	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
19.505	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
19.644	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
19.783	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
19.992	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
20.225	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
20.457	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
20.666	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
20.828	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
21.153	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
21.269	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
21.386	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
21.478	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
21.595	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
21.757	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
22.013	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
22.129	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
22.314	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
22.454	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
22.570	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
22.802	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
23.011	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
23.174	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
23.359	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
23.615	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
23.824	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
23.940	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
24.102	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
24.358	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
24.567	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
24.776	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
24.985	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
25.217	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
25.449	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
25.612	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
25.658	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
25.751	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
25.867	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
26.076	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
26.215	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
27.005	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
27.353	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
27.446	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
27.516	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
27.678	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
27.771	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
27.934	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
28.282	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
28.375	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
28.584	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
28.793	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
28.979	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
29.211	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
29.396	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
29.513	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
29.745	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
29.931	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
30.093	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
30.163	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
30.418	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
30.720	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
30.883	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
31.022	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
31.115	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
31.254	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
31.347	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
31.858	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
31.904	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
32.044	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
32.253	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
32.392	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
32.694	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
32.717	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
33.019	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
33.065	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
33.228	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
33.297	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
33.622	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
33.669	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
33.831	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
33.901	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
34.180	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
34.342	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
34.644	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
34.807	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
35.016	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
35.364	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
35.434	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
35.573	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
35.805	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
35.852	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
36.130	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
36.200	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
36.316	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
36.455	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
36.688	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
36.989	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
37.129	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
37.245	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
37.523	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
37.686	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
37.756	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
38.034	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
38.127	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
38.290	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
38.522	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
38.708	Bbm	10	0	[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]
38.777	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
38.940	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
39.102	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
39.219	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
39.404	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
39.636	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
39.776	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
39.845	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
39.985	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
40.147	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
40.496	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
40.658	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
41.169	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
41.239	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
41.424	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
41.564	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
41.726	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
41.866	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
42.075	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
42.167	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
42.376	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
42.493	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
42.632	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
42.701	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
42.934	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.282	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.421	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.514	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.723	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.909	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.071	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.280	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.536	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.745	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.907	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
45.116	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
45.140	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
45.256	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
45.372	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.022	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.138	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.347	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
46.463	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.649	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.928	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
47.137	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
