MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.095627593989271981, -0.081617006395705266, -0.066426552025483407, -0.027275915790451886, -0.01622896795407066, -0.0014394914558918661, 0.0015775310041481665, -0.0040157827977905366, 0.001710442777236663, 0.0044518730431947701, -0.0090602900896296513, -0.01798904311549086]	0.062	0.000	C	60	0	4	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.137
[0.025562713998780909, -0.10186521045740513, -0.12151863903607484, -0.10666048722593968, -0.044578606326427767, 0.010032171855140593, -0.012507403711039285, -0.015053863826491534, 0.032350731278828725, 0.0110119738694365, -0.040162336390049923, -0.0037276655212932891]	0.057	3.529	G	55	7	3	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.284
[0.0068276940160027595, -0.066735973011574273, -0.067543722552100074, -0.060832944671505407, -0.05218799308557176, -0.020168610561540748, 0.010904008732649755, 0.023950126705317678, -0.0014382182388185134, -0.040141879345766379, -0.020049184128715009, 0.01497253965414151]	0.050	3.669	F	53	5	3	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.200
[0.020636509445048329, -0.08216231701822585, -0.079753146189081525, -0.018629028703866322, 0.005210449288253839, -0.011088905729972648, -0.030015342646167259, -0.020777029606149921, 0.0046382007538778884, 0.0023729583868355151, -0.0098589627557964625, 0.012565647568911256]	0.063	5.317	A	57	9	3	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.149
[0.045275466761076646, -0.11404419801132085, -0.064551303168330715, -0.037418904830505098, 0.0063884164468960575, -0.030671338625257345, -0.035862492299082852, -0.00086575023898317123, -0.0015002365896724279, -0.0024577861376678918, 0.021903215714661185, 0.037309364198257859]	0.107	10.797	F	65	5	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.099
[0.062027982816362313, -0.024226090781207271, 0.029249514844507055, 0.069607232668539798, 0.016860367226548913, -0.012594394719901829, -0.00066226718299268678, -0.089497930489455119, -0.02371147587402005, 0.06729460417086984, 0.058501550726234086, -0.029828152400990751]	0.148	14.118	D	62	2	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.658
[-0.0098079373875190595, -0.053656137174737321, 0.0054602649070408437, 0.059494879290578007, 0.042442696967569825, -0.032285446441786679, -0.01306759746269661, 0.0038901929781150028, 0.017996897409941204, 0.021166471097359304, 0.028029638278668369, -0.027142384073096725]	0.093	14.187	E	64	4	4	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.892
[-0.0011279108758520139, -0.051837777202149438, 0.01615859778255942, 0.046749165799888644, 0.0304443175050522, -0.0059121925108377984, -0.038022190006953394, -0.018068251400611201, -0.010137966892086016, 0.01957123243890585, -0.0071346552349712631, -0.020892088876397614]	0.071	14.303	F	65	5	4	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.861
[0.17339358411412209, -0.17354513142490818, -0.074133082180102852, 0.078944891290663066, 0.081382849376971073, 0.0074832189424243346, -0.01554142949971885, -0.074615485973740084, 0.0050185053293331445, -0.0042934378056260439, 0.045297614306050164, -0.036558943816642965]	0.059	14.559	D#	63	3	4	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.812
[0.2020089702339444, -0.11001379201206897, -0.12110013543337952, 0.069862888919126842, 0.1131369539541671, 0.044646022007403044, -0.046635777459387948, -0.059837199560061768, -0.032668185393163442, -0.036271142788746942, -0.0093784741961190545, -0.052927326503167157]	0.164	14.698	D	62	2	4	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.738
