time	noteName	noteMIDI	noteKey	noteOctave
0.000	C	60	0	4
3.529	G	55	7	3
3.669	F	53	5	3
5.317	A	57	9	3
10.797	F	65	5	4
14.118	D	62	2	4
14.187	E	64	4	4
14.303	F	65	5	4
14.559	D#	63	3	4
14.698	D	62	2	4
14.814	D	62	2	4
15.047	F	65	5	4
15.070	D	62	2	4
15.256	D#	63	3	4
15.395	D	62	2	4
15.488	F	65	5	4
15.534	F	65	5	4
15.859	D	62	2	4
15.929	D	74	2	5
15.999	E	76	4	5
16.254	E	76	4	5
16.347	F	41	5	2
16.625	E	76	4	5
16.742	F	53	5	3
16.811	F	65	5	4
17.694	F	41	5	2
17.740	A	33	9	1
17.903	A#	34	10	1
17.972	E	64	4	4
18.135	A	33	9	1
18.390	D	62	2	4
18.483	D	62	2	4
18.553	D	62	2	4
18.692	D#	63	3	4
18.971	D#	63	3	4
19.040	F	65	5	4
19.342	D	62	2	4
19.505	D#	63	3	4
19.644	D#	63	3	4
19.783	A#	34	10	1
19.992	A	33	9	1
20.225	F	65	5	4
20.457	F	65	5	4
20.666	D	62	2	4
20.828	D	62	2	4
21.153	B	35	11	1
21.269	E	64	4	4
21.386	F	65	5	4
21.478	F	65	5	4
21.595	F	65	5	4
21.757	E	64	4	4
22.013	D	74	2	5
22.129	F	53	5	3
22.314	A	81	9	5
22.454	D	62	2	4
22.570	F	65	5	4
22.802	D#	63	3	4
23.011	F#	42	6	2
23.174	B	83	11	5
23.359	E	76	4	5
23.615	D	62	2	4
23.824	D	74	2	5
23.940	F	53	5	3
24.102	F#	54	6	3
24.358	C	60	0	4
24.567	F	65	5	4
24.776	D#	39	3	2
24.985	D#	39	3	2
25.217	G#	56	8	3
25.449	D	38	2	2
25.612	A#	58	10	3
25.658	A	57	9	3
25.751	D#	39	3	2
25.867	D#	39	3	2
26.076	F	65	5	4
26.215	D#	39	3	2
27.005	D#	39	3	2
27.353	D	38	2	2
27.446	D	38	2	2
27.516	D#	39	3	2
27.678	D	38	2	2
27.771	D#	39	3	2
27.934	D#	39	3	2
