time	chroma	timbre	dB
0.000	[0.169, 0.152, 0.179, 0.195, 0.224, 0.269, 0.261, 0.195, 0.207, 0.14, 0.938, 1.0]	[0.0, 171.13, 9.469, -28.48, 57.491, -50.067, 14.833, 5.359, -27.228, 0.973, -10.64, -7.228]	-60.000
1.178	[0.38, 0.146, 0.505, 0.047, 0.171, 1.0, 0.14, 0.058, 0.06, 0.933, 0.049, 0.036]	[21.205, -210.299, -97.347, -29.622, 90.371, -30.863, -0.809, 36.787, -23.898, 18.398, 12.423, -8.158]	-60.000
2.074	[0.391, 0.056, 0.313, 0.022, 0.08, 0.941, 0.089, 0.069, 0.032, 1.0, 0.019, 0.018]	[20.389, -202.869, -93.583, -66.55, 87.028, -41.573, 4.19, 15.721, -27.638, -1.343, -2.82, 3.723]	-42.899
2.904	[0.744, 0.039, 0.169, 0.014, 0.072, 1.0, 0.078, 0.077, 0.064, 0.435, 0.018, 0.02]	[21.643, -208.318, -63.424, -64.798, 90.062, -25.962, 12.581, 10.061, -32.594, 9.489, -2.383, -6.748]	-42.660
3.404	[0.279, 0.089, 0.392, 0.042, 0.067, 1.0, 0.107, 0.041, 0.023, 0.738, 0.027, 0.023]	[23.059, -210.399, -40.776, -36.241, 78.071, -54.555, 11.912, 21.295, -28.885, -13.824, 0.149, -9.771]	-39.693
3.778	[0.483, 0.049, 0.603, 0.027, 0.039, 1.0, 0.07, 0.086, 0.022, 0.299, 0.026, 0.039]	[23.732, -224.051, -57.107, -33.139, 79.108, -30.424, 6.681, 23.997, -31.957, 5.301, 5.958, -4.474]	-39.740
4.703	[0.43, 0.027, 0.036, 0.022, 0.066, 1.0, 0.064, 0.409, 0.038, 0.068, 0.023, 0.027]	[26.177, -220.712, -45.042, -37.547, 32.717, -15.937, 31.561, 21.241, -31.323, 6.028, 4.852, 0.114]	-41.155
5.684	[0.213, 0.022, 0.035, 0.019, 0.085, 1.0, 0.049, 0.55, 0.037, 0.034, 0.017, 0.012]	[23.477, -234.469, -103.872, -47.596, 52.859, -63.117, 14.624, 28.013, -24.003, -16.907, -9.55, -4.003]	-36.367
6.498	[0.121, 0.02, 0.021, 0.02, 0.109, 0.731, 0.067, 0.356, 0.063, 1.0, 0.025, 0.011]	[27.395, -192.768, -57.579, -9.423, 21.037, 15.687, 16.929, 15.216, -19.706, 16.021, 13.342, 11.347]	-41.070
7.396	[1.0, 0.046, 0.028, 0.01, 0.065, 0.854, 0.053, 0.362, 0.027, 0.42, 0.027, 0.037]	[30.837, -138.855, 7.558, 26.194, 14.196, -10.753, -24.378, -5.994, -13.623, 9.492, -19.116, -24.239]	-37.680
7.877	[0.374, 0.025, 0.022, 0.028, 1.0, 0.257, 0.032, 0.189, 0.025, 0.219, 0.016, 0.033]	[29.802, -138.986, -1.303, 28.282, 24.41, -7.124, -40.131, 1.993, -19.474, -16.426, -7.744, 15.636]	-36.502
8.307	[0.041, 0.053, 0.02, 0.022, 0.196, 0.04, 0.032, 0.042, 0.056, 1.0, 0.044, 0.02]	[21.99, -167.589, -36.713, -6.139, 45.159, -49.376, 7.222, 22.142, -43.309, -14.661, -13.361, 2.15]	-40.725
8.729	[0.008, 0.007, 0.006, 0.016, 1.0, 0.022, 0.007, 0.009, 0.027, 0.415, 0.013, 0.025]	[21.391, -209.746, -75.498, -69.075, 84.53, -42.602, 21.745, 9.999, -26.827, 4.423, 0.322, -6.962]	-42.424
9.162	[1.0, 0.044, 0.015, 0.016, 0.801, 0.021, 0.008, 0.089, 0.068, 0.885, 0.02, 0.038]	[22.99, -220.346, -56.703, -50.002, 81.744, -49.119, 13.577, 17.914, -26.851, -6.896, 3.015, -8.842]	-39.064
9.649	[0.163, 0.018, 0.009, 0.018, 1.0, 0.043, 0.013, 0.037, 0.041, 0.4, 0.014, 0.039]	[22.709, -184.663, -48.878, -25.996, 50.003, -54.028, 23.345, 23.103, -9.65, 1.099, -9.282, -13.644]	-38.920
10.077	[0.517, 0.048, 0.02, 0.056, 1.0, 0.121, 0.034, 0.077, 0.057, 0.499, 0.023, 0.044]	[23.039, -191.447, -48.212, -15.702, 58.142, -15.549, 21.599, 25.211, -33.091, 1.702, -2.84, 0.409]	-40.752
10.977	[0.066, 0.025, 0.023, 0.014, 0.526, 0.031, 0.023, 0.626, 0.094, 1.0, 0.031, 0.022]	[21.112, -206.83, -75.3, -20.576, 105.191, -40.193, -18.143, 40.944, -26.858, 1.054, -1.289, -5.664]	-42.559
11.893	[0.308, 0.034, 0.283, 0.016, 0.069, 0.825, 0.032, 0.043, 0.026, 0.079, 1.0, 0.045]	[21.164, -213.911, -95.767, -58.304, 90.494, -24.399, -0.206, 30.304, -30.559, 12.362, 0.658, 1.207]	-44.248
12.746	[0.504, 0.05, 0.174, 0.014, 0.03, 1.0, 0.03, 0.036, 0.043, 0.045, 0.651, 0.05]	[19.196, -187.652, -92.785, -11.258, 111.402, -51.439, -36.402, 56.281, -20.316, -11.042, -3.628, 4.245]	-43.279
13.637	[0.689, 0.157, 0.368, 0.057, 0.067, 1.0, 0.096, 0.116, 0.099, 0.125, 0.67, 0.087]	[15.661, -136.76, -76.303, -46.399, 123.208, -49.516, -26.93, 23.954, -17.143, 0.378, 12.866, 10.372]	-47.638
14.443	[0.325, 0.117, 0.214, 0.076, 0.116, 1.0, 0.151, 0.099, 0.086, 0.101, 0.212, 0.111]	[21.63, 79.6, -7.668, -63.59, 61.835, -5.534, -71.817, 0.195, 37.489, -14.134, 25.442, 13.969]	-46.496
14.565	[0.494, 0.134, 0.341, 0.129, 0.123, 1.0, 0.143, 0.13, 0.156, 0.201, 0.746, 0.187]	[23.549, 102.387, -20.502, -25.034, 51.766, -19.162, -78.119, -23.957, 5.827, 0.05, -16.626, 16.627]	-38.204
15.105	[0.48, 1.0, 0.547, 0.276, 0.644, 0.607, 0.461, 0.423, 0.586, 0.532, 0.719, 0.352]	[19.616, -94.582, -49.072, -95.987, 57.984, -30.487, -12.581, -20.231, -19.585, 14.872, 7.945, 25.842]	-44.801
15.197	[0.073, 0.256, 1.0, 0.278, 0.711, 0.837, 0.041, 0.016, 0.036, 0.352, 0.108, 0.053]	[33.415, -116.609, 22.536, -237.075, 62.996, 15.883, -14.45, 12.834, 4.902, 1.149, -15.853, 15.931]	-38.087
16.022	[0.107, 0.38, 1.0, 0.167, 0.028, 0.103, 0.032, 0.008, 0.011, 0.103, 0.018, 0.004]	[41.688, 3.586, -50.162, -76.174, 84.968, -9.685, -36.378, -37.782, 3.486, 67.685, -9.725, 26.491]	-23.057
16.189	[0.139, 0.134, 1.0, 0.146, 0.07, 0.518, 0.096, 0.039, 0.019, 0.149, 0.031, 0.023]	[42.387, -65.75, -53.107, -9.743, 60.457, -27.558, -24.845, -29.322, 14.684, -6.141, -28.32, 39.105]	-17.547
16.608	[0.239, 0.09, 0.452, 0.117, 0.172, 1.0, 0.101, 0.025, 0.015, 0.201, 0.015, 0.012]	[41.495, -76.711, -24.981, 3.733, 86.66, -8.408, -26.391, 6.93, 24.964, -10.341, -35.144, 37.06]	-23.814
17.032	[0.103, 0.111, 0.348, 0.27, 0.492, 1.0, 0.595, 0.153, 0.094, 0.172, 0.037, 0.061]	[41.351, -27.461, -1.921, -142.73, 44.141, 28.013, -7.287, 10.332, 49.797, 1.879, -3.175, 6.838]	-29.416
17.259	[0.063, 0.028, 0.123, 0.051, 1.0, 0.941, 0.144, 0.049, 0.034, 0.205, 0.021, 0.118]	[47.39, 16.537, 10.341, -25.331, 53.357, -36.037, 2.201, -13.001, 50.29, 12.076, -3.888, 23.501]	-15.080
17.636	[0.783, 0.091, 0.237, 0.134, 0.629, 1.0, 0.188, 0.175, 0.114, 0.661, 0.075, 0.12]	[43.023, -16.809, -31.119, 91.384, 58.719, -28.168, -22.893, -12.641, 41.687, -0.957, -54.185, 33.656]	-13.888
18.866	[0.243, 0.13, 0.019, 0.026, 0.258, 0.535, 1.0, 0.176, 0.058, 0.963, 0.369, 0.287]	[39.678, -30.114, -15.521, -194.118, 11.764, 45.092, -20.738, 35.112, 53.031, -5.612, 10.872, -7.12]	-33.273
19.145	[0.045, 0.022, 0.208, 0.405, 0.277, 0.095, 0.043, 0.039, 0.172, 1.0, 0.368, 0.011]	[47.447, 55.266, -26.534, -16.299, 29.166, -25.909, -62.984, -27.8, 55.888, 19.723, -13.963, -1.694]	-13.271
19.568	[0.045, 0.098, 1.0, 0.051, 0.137, 0.023, 0.164, 0.16, 0.416, 0.506, 0.251, 0.006]	[43.191, 25.335, -53.125, -37.256, 30.729, -30.772, -94.783, -23.698, 41.503, 31.908, 11.858, 12.085]	-24.599
19.735	[0.375, 0.134, 1.0, 0.06, 0.222, 0.106, 0.093, 0.688, 0.17, 0.283, 0.126, 0.055]	[41.457, -39.004, -62.063, -5.378, 27.069, -29.344, -61.182, -43.157, 28.348, 12.124, -7.487, 14.594]	-18.411
19.981	[0.056, 0.029, 0.662, 1.0, 0.057, 0.019, 0.021, 0.233, 0.068, 0.142, 0.054, 0.036]	[38.683, -104.292, -48.39, -59.414, 45.008, -30.106, -55.123, -48.033, 20.916, 5.647, -16.778, 22.989]	-23.353
20.185	[0.129, 0.016, 0.273, 0.053, 0.203, 1.0, 0.042, 0.116, 0.025, 0.186, 0.033, 0.015]	[43.449, -55.383, -29.21, -15.337, 79.712, 28.262, -42.807, -5.265, 34.482, -37.901, -3.746, 22.057]	-22.239
20.486	[0.25, 0.113, 0.637, 0.161, 0.177, 0.482, 0.479, 0.531, 0.744, 1.0, 0.634, 0.055]	[35.442, 55.464, -61.088, -138.091, 78.073, -21.865, -50.521, 67.786, 5.645, -52.725, 9.715, -7.511]	-31.349
20.614	[0.223, 0.06, 0.238, 0.523, 0.092, 0.305, 0.485, 0.113, 0.066, 0.222, 0.609, 1.0]	[41.218, 75.158, -85.71, -91.306, 44.236, -25.309, -42.346, -73.259, 5.154, 45.285, -29.308, -0.94]	-21.236
20.881	[0.054, 0.006, 0.017, 0.018, 0.249, 0.031, 0.018, 0.016, 0.016, 0.16, 1.0, 0.03]	[43.714, 44.655, -67.355, -52.634, 0.822, -15.248, -88.982, -24.005, 58.549, 7.915, -14.176, -4.236]	-18.517
21.543	[0.066, 0.017, 0.347, 0.017, 0.047, 0.326, 0.048, 0.049, 0.028, 0.251, 1.0, 0.029]	[35.548, -71.586, -71.042, -2.027, 39.903, -25.645, -74.446, -5.237, 28.788, -19.777, -26.568, 15.182]	-24.297
22.384	[0.13, 0.742, 1.0, 0.482, 0.342, 0.175, 0.053, 0.035, 0.174, 0.482, 0.174, 0.102]	[35.953, -65.272, -31.475, -204.554, 48.772, -29.056, -23.321, 12.588, 29.379, 33.764, 38.839, -1.532]	-31.988
22.617	[0.039, 0.142, 1.0, 0.294, 0.62, 0.496, 0.037, 0.023, 0.013, 0.141, 0.048, 0.011]	[45.533, 12.338, -49.483, -22.227, 20.51, -15.293, -92.056, -28.452, 37.202, 2.784, -28.095, -2.491]	-14.034
23.290	[0.655, 0.629, 1.0, 0.142, 0.21, 0.999, 0.137, 0.144, 0.173, 0.854, 0.146, 0.064]	[45.74, -19.323, 5.85, -67.189, 51.268, -17.83, -39.208, 47.786, 54.474, -6.845, 17.464, -12.937]	-20.805
23.445	[0.24, 0.175, 1.0, 0.126, 0.032, 0.559, 0.076, 0.048, 0.028, 0.273, 0.031, 0.023]	[46.894, 41.279, 2.388, -36.86, 46.286, -22.059, -44.543, -31.247, 49.21, 10.141, -16.671, 5.208]	-14.276
23.749	[0.194, 0.172, 0.434, 0.061, 0.056, 1.0, 0.111, 0.059, 0.045, 0.209, 0.048, 0.022]	[43.565, 41.435, 12.925, -69.47, 30.33, 12.198, -70.017, 3.153, 40.029, -34.661, 13.451, -0.88]	-22.307
23.974	[0.058, 0.042, 0.104, 0.113, 0.616, 1.0, 0.389, 0.222, 0.035, 0.038, 0.035, 0.075]	[46.556, -15.855, 15.627, -11.426, 66.502, -35.594, -29.743, -22.474, 32.743, 32.589, -8.119, 18.262]	-18.574
24.545	[0.346, 0.031, 0.129, 0.356, 1.0, 0.604, 0.072, 0.225, 0.013, 0.029, 0.028, 0.182]	[44.542, -53.155, 8.797, 12.856, 79.334, -31.553, 1.055, -8.656, 24.693, 13.324, -27.591, 29.4]	-15.883
25.014	[0.416, 0.467, 0.236, 0.059, 0.131, 1.0, 0.27, 0.145, 0.203, 0.139, 0.033, 0.055]	[43.044, -35.119, -28.918, -45.534, 55.576, 30.286, -10.78, 10.932, 49.862, -24.131, -27.033, 23.24]	-21.818
25.477	[1.0, 0.309, 0.065, 0.049, 0.087, 0.867, 0.11, 0.189, 0.047, 0.092, 0.081, 0.231]	[34.938, -70.237, -37.46, -13.406, 43.603, -38.876, -54.066, -17.502, 16.648, -5.629, -25.189, 13.582]	-28.328
25.668	[0.257, 0.271, 0.608, 1.0, 0.263, 0.151, 0.07, 0.153, 0.077, 0.129, 0.289, 0.224]	[36.692, -54.932, -23.53, -97.167, 76.21, -7.677, -10.534, -13.257, 5.135, -9.767, -16.37, 9.492]	-28.758
26.326	[0.067, 0.028, 0.266, 1.0, 0.092, 0.052, 0.039, 0.206, 0.518, 0.358, 0.241, 0.021]	[33.688, -97.109, -80.314, -67.563, 41.497, -35.447, -10.867, 30.791, 15.432, -1.999, -19.216, 20.825]	-28.399
26.803	[0.102, 0.02, 0.047, 1.0, 0.124, 0.146, 0.046, 0.122, 0.129, 0.241, 0.187, 0.176]	[33.892, -114.499, -104.88, -53.752, 38.032, 49.48, -17.989, -16.581, 23.238, -31.99, -27.5, 3.985]	-32.723
27.381	[0.031, 0.009, 0.145, 1.0, 0.161, 0.099, 0.044, 0.144, 0.018, 0.037, 0.073, 0.014]	[28.444, -119.148, -105.743, -15.545, 24.178, -63.83, -25.544, -23.266, 9.661, 8.237, -10.332, 3.676]	-32.752
27.754	[0.151, 0.019, 0.024, 1.0, 0.168, 0.174, 0.057, 0.507, 0.092, 0.036, 0.152, 0.021]	[24.349, -142.826, -60.892, -49.007, -4.392, -34.277, -18.91, -9.72, -9.012, 3.834, 0.63, -6.367]	-37.116
28.113	[0.116, 0.03, 0.461, 1.0, 0.143, 0.083, 0.041, 0.054, 0.011, 0.094, 0.664, 0.257]	[24.389, -139.207, -72.714, -40.109, 8.133, -24.504, -17.982, -14.442, 12.902, 9.996, -23.171, 8.051]	-36.962
28.588	[0.3, 0.073, 0.3, 1.0, 0.384, 0.028, 0.031, 0.058, 0.019, 0.037, 0.115, 0.336]	[25.214, -193.233, -114.561, -52.899, -3.55, -21.488, -0.071, 6.66, -2.185, 21.427, -12.045, -7.663]	-37.991
28.810	[0.041, 0.01, 0.026, 1.0, 0.28, 0.02, 0.012, 0.036, 0.01, 0.01, 0.059, 0.038]	[26.446, -110.019, -97.789, -136.43, -1.182, -46.486, -32.112, 57.652, 40.301, 0.961, 20.419, -1.735]	-36.769
