time	MFCC1	MFCC2	MFCC3	MFCC4	MFCC5	MFCC6
0.000	-0.092	0.150	-0.072	-0.206	0.030	-0.012
0.720	0.009	0.024	-0.080	-0.056	-0.032	-0.039
1.300	0.254	0.109	-0.048	-0.165	0.104	-0.071
1.370	0.083	0.037	-0.013	-0.029	-0.010	-0.024
1.974	0.012	0.028	-0.059	-0.049	-0.015	0.001
2.717	0.221	0.372	-0.196	-0.190	0.058	0.062
2.740	0.110	0.089	-0.066	-0.111	-0.018	-0.029
3.204	0.015	-0.010	-0.152	-0.068	-0.018	0.015
3.506	0.005	0.019	-0.086	-0.126	0.000	-0.053
3.994	-0.025	0.093	-0.086	-0.182	0.069	0.078
4.063	-0.009	0.046	-0.128	-0.139	0.077	0.017
4.249	0.047	0.010	-0.035	-0.047	-0.005	-0.009
4.737	-0.002	0.011	-0.054	-0.087	0.080	-0.062
4.992	-0.017	-0.016	-0.019	-0.006	0.021	-0.017
5.480	0.017	-0.021	-0.001	-0.061	0.016	0.006
5.759	0.053	-0.003	-0.040	-0.050	-0.092	-0.048
5.968	0.250	0.074	-0.104	-0.161	-0.043	-0.037
6.130	0.173	0.120	-0.114	-0.158	-0.058	-0.083
6.293	-0.003	-0.037	-0.061	-0.086	-0.075	-0.055
6.502	0.278	0.224	-0.088	-0.077	-0.028	-0.104
6.571	0.076	0.046	0.005	-0.028	-0.028	-0.054
7.012	0.062	0.078	-0.094	-0.034	-0.048	-0.065
7.245	0.271	0.213	-0.190	-0.095	0.015	0.047
7.268	0.139	0.035	0.004	-0.049	-0.056	-0.048
7.384	0.167	0.093	0.007	-0.127	-0.016	-0.061
7.616	0.027	-0.004	-0.033	-0.081	-0.098	0.004
7.732	0.025	-0.018	0.002	-0.034	-0.004	-0.009
7.988	0.004	0.012	-0.003	-0.029	0.048	0.001
8.382	0.046	0.063	-0.071	-0.086	-0.035	-0.044
8.754	0.278	0.195	-0.172	-0.148	0.054	-0.041
8.847	0.134	-0.011	-0.081	-0.049	0.001	0.015
9.033	0.054	0.020	-0.099	-0.075	0.012	-0.010
9.218	0.087	0.051	-0.110	0.012	0.086	0.016
9.265	0.018	-0.027	-0.061	-0.019	0.043	-0.015
9.497	0.059	-0.016	-0.049	-0.036	0.015	-0.011
9.613	0.015	-0.055	-0.053	-0.008	0.037	-0.022
9.985	-0.094	0.055	-0.067	-0.116	0.079	0.039
10.263	0.109	0.213	-0.090	-0.121	0.060	0.052
10.286	-0.001	0.076	-0.019	-0.085	-0.014	0.027
10.728	0.097	0.023	-0.048	0.004	-0.036	0.029
10.797	0.075	0.074	-0.091	-0.066	0.019	-0.026
11.006	-0.013	0.018	-0.075	-0.055	0.024	-0.070
11.749	0.227	0.036	0.019	-0.108	-0.030	-0.057
11.958	0.171	0.036	-0.046	-0.064	-0.060	-0.004
12.028	0.091	0.026	-0.058	-0.079	-0.052	-0.036
12.283	0.171	0.036	-0.010	-0.114	-0.060	-0.004
12.423	0.113	0.003	-0.012	-0.031	-0.034	-0.012
12.492	0.052	0.014	-0.001	-0.029	-0.028	-0.032
12.608	0.134	0.024	-0.008	-0.058	-0.060	-0.024
12.725	0.144	0.213	-0.029	-0.125	0.041	-0.031
13.050	0.069	0.077	-0.004	-0.028	0.041	-0.055
13.282	0.152	0.089	-0.007	-0.049	0.013	-0.109
13.375	0.107	0.046	0.015	-0.038	-0.035	-0.056
13.514	0.052	-0.000	0.019	-0.045	0.002	-0.044
13.978	0.705	1.000	-0.025	-0.183	0.418	-0.054
14.002	0.087	0.088	-0.068	-0.094	-0.010	-0.002
14.768	0.282	0.152	-0.135	-0.047	-0.008	-0.050
14.814	0.154	0.003	-0.069	-0.085	-0.006	-0.050
15.209	0.073	0.001	-0.072	-0.005	0.051	0.013
15.488	0.134	0.050	-0.025	-0.153	0.108	-0.030
15.511	-0.021	0.008	-0.022	-0.029	0.015	-0.038
15.650	0.047	0.060	-0.076	-0.094	0.052	-0.034
16.068	0.042	0.045	-0.122	-0.080	0.036	-0.008
16.254	0.224	0.087	-0.057	-0.096	-0.023	-0.120
16.324	0.089	0.086	-0.036	-0.069	-0.043	-0.010
16.463	0.137	0.008	-0.049	-0.076	-0.034	-0.054
16.742	0.153	0.089	-0.056	-0.067	-0.080	-0.065
16.997	0.365	0.298	-0.077	-0.199	-0.009	-0.174
17.020	0.030	0.064	-0.035	-0.093	-0.018	-0.045
17.763	0.098	0.182	-0.082	-0.112	0.094	-0.106
17.856	0.088	0.040	-0.060	-0.202	0.016	-0.033
18.112	0.078	-0.090	-0.109	-0.152	0.037	-0.048
18.251	0.070	-0.040	-0.157	-0.019	0.049	0.007
18.506	0.167	0.052	-0.041	-0.171	0.023	-0.091
18.553	0.118	-0.012	-0.137	-0.041	-0.057	-0.085
18.971	0.087	0.106	-0.126	-0.031	0.005	-0.029
19.064	0.018	-0.013	-0.085	-0.103	-0.015	-0.017
19.296	0.083	0.030	-0.017	-0.013	-0.031	-0.042
19.365	0.064	0.049	0.029	0.035	0.001	-0.056
