time	ZC
0.000	0.390
0.720	0.379
1.300	0.058
1.370	0.109
1.974	0.252
2.717	0.144
2.740	0.081
3.204	0.254
3.506	0.260
3.994	0.259
4.063	0.254
4.249	0.204
4.737	0.223
4.992	0.171
5.480	0.161
5.759	0.041
5.968	0.022
6.130	0.037
6.293	0.049
6.502	0.242
6.571	0.154
7.012	0.175
7.245	0.347
7.268	0.088
7.384	0.051
7.616	0.110
7.732	0.090
7.988	0.083
8.382	0.167
8.754	0.084
8.847	0.078
9.033	0.072
9.218	0.145
9.265	0.161
9.497	0.278
9.613	0.135
9.985	0.216
10.263	0.389
10.286	0.159
10.728	0.240
10.797	0.186
11.006	0.170
11.749	0.050
11.958	0.024
12.028	0.031
12.283	0.063
12.423	0.059
12.492	0.152
12.608	0.076
12.725	0.117
13.050	0.168
13.282	0.073
13.375	0.073
13.514	0.133
13.978	0.340
14.002	0.175
14.768	0.079
14.814	0.078
15.209	0.167
15.488	0.174
15.511	0.211
15.650	0.131
16.068	0.199
16.254	0.128
16.324	0.079
16.463	0.035
16.742	0.052
16.997	0.295
17.020	0.209
17.763	0.234
17.856	0.172
18.112	0.109
18.251	0.086
18.506	0.278
18.553	0.075
18.971	0.283
19.064	0.239
19.296	0.026
19.365	0.016
19.458	0.025
19.621	0.075
19.760	0.106
19.969	0.147
20.712	0.415
20.735	0.130
20.991	0.058
21.153	0.080
21.269	0.110
21.502	0.455
21.548	0.124
21.711	0.087
21.896	0.112
22.082	0.142
22.268	0.132
22.361	0.051
22.639	0.065
22.779	0.088
22.895	0.149
22.988	0.135
23.243	0.051
23.406	0.148
23.731	0.045
23.754	0.130
24.242	0.304
24.497	0.342
24.636	0.166
24.706	0.207
24.985	0.257
25.240	0.385
25.287	0.090
25.472	0.082
25.612	0.091
25.728	0.160
25.983	0.170
26.749	0.177
26.842	0.164
26.912	0.205
27.051	0.312
27.492	0.267
27.609	0.050
27.701	0.066
27.980	0.285
28.259	0.212
28.421	0.071
28.630	0.192
28.793	0.215
29.002	0.279
29.118	0.117
29.234	0.256
29.513	0.482
29.768	0.059
29.861	0.025
29.907	0.043
30.209	0.211
30.256	0.085
30.488	0.135
30.604	0.104
30.975	0.138
31.254	0.266
31.300	0.088
31.486	0.154
31.974	0.211
31.997	0.130
32.485	0.126
32.740	0.107
32.833	0.072
32.949	0.104
33.205	0.314
33.483	0.400
33.506	0.294
33.785	0.300
33.878	0.360
33.994	0.308
34.249	0.205
34.528	0.082
34.737	0.158
34.992	0.321
35.016	0.189
35.759	0.049
35.898	0.023
36.061	0.028
36.246	0.080
36.386	0.049
36.502	0.483
36.525	0.116
36.897	0.195
37.059	0.746
37.105	0.626
37.314	0.069
37.454	0.192
37.709	0.166
37.895	0.180
37.988	0.417
38.034	0.127
38.545	0.240
38.708	0.098
38.754	0.107
38.870	0.110
38.986	0.074
39.219	0.245
39.335	0.318
39.497	0.472
39.544	0.208
39.706	0.177
39.985	0.255
40.263	0.123
40.449	0.114
40.681	0.109
40.844	0.094
41.006	0.351
41.053	0.180
41.773	0.189
42.423	0.047
42.493	0.174
42.609	0.055
43.003	0.506
43.027	0.428
43.305	0.031
43.398	0.032
43.491	0.060
43.700	0.107
43.979	0.202
44.327	0.083
44.722	0.242
44.768	0.155
44.907	0.075
45.186	0.153
45.232	0.173
45.488	0.360
45.581	1.000
45.697	0.571
45.906	0.143
46.092	0.060
46.254	0.106
46.440	0.059
46.533	0.070
46.672	0.145
46.881	0.450
46.997	0.257
47.090	0.097
47.322	0.144
47.763	0.055
47.949	0.032
48.158	0.042
48.251	0.073
48.506	0.093
48.785	0.042
48.901	0.058
48.994	0.089
49.250	0.128
49.319	0.071
49.551	0.081
49.714	0.088
49.969	0.166
49.993	0.112
50.411	0.196
50.480	0.391
50.759	0.082
50.852	0.124
51.200	0.211
51.479	0.140
51.502	0.183
51.618	0.077
51.757	0.071
52.013	0.379
52.268	0.166
52.361	0.113
52.454	0.097
52.733	0.175
52.988	0.185
53.011	0.138
53.452	0.214
53.754	0.058
53.894	0.029
53.963	0.062
54.242	0.089
54.288	0.070
54.497	0.389
54.520	0.093
54.962	0.117
54.985	0.202
55.263	0.151
55.356	0.109
55.635	0.082
55.705	0.060
56.007	0.081
56.169	0.062
56.308	0.049
56.517	0.106
56.773	0.063
56.959	0.070
57.214	0.200
57.516	0.194
57.655	0.080
57.980	0.287
58.143	0.480
58.259	0.171
58.445	0.104
58.491	0.085
58.700	0.084
59.002	0.184
59.072	0.048
59.768	0.067
59.861	0.030
60.233	0.093
60.418	0.042
60.488	0.138
60.604	0.112
60.720	0.106
60.976	0.147
61.231	0.147
61.254	0.125
61.394	0.088
61.510	0.099
61.858	0.112
61.997	0.183
62.485	0.560
62.740	0.230
62.764	0.138
62.973	0.127
63.089	0.219
63.181	0.230
63.390	0.156
63.507	0.307
63.576	0.075
63.855	0.062
63.925	0.156
64.250	0.112
64.482	0.065
64.644	0.098
64.760	0.092
65.016	0.170
65.109	0.083
65.225	0.084
65.759	0.321
65.782	0.209
65.945	0.168
66.247	0.084
66.502	0.094
66.897	0.042
67.013	0.217
67.245	0.140
67.361	0.032
67.617	0.046
67.709	0.195
67.965	0.408
67.988	0.118
68.290	0.086
68.429	0.082
68.545	0.056
68.731	0.161
68.824	0.116
68.940	0.134
69.335	0.347
69.497	0.313
69.613	0.127
70.055	0.363
70.078	0.610
70.264	0.235
70.356	0.153
70.449	0.100
70.728	0.157
70.983	0.128
71.007	0.201
71.750	0.061
71.866	0.027
71.959	0.027
72.237	0.071
72.493	0.135
72.609	0.087
72.655	0.083
72.980	0.125
73.120	0.132
73.259	0.137
73.375	0.146
73.538	0.170
73.723	0.112
74.002	0.340
74.025	0.155
74.141	0.206
74.304	0.210
74.675	0.383
74.768	0.093
75.000	0.057
75.209	0.188
75.488	0.472
75.535	0.098
75.813	0.039
75.952	0.054
76.069	0.074
76.254	0.152
76.394	0.169
76.533	0.145
76.719	0.144
76.997	0.150
77.717	0.211
77.764	0.062
77.926	0.031
77.996	0.023
78.228	0.065
78.507	0.126
78.623	0.086
78.785	0.088
79.064	0.108
79.226	0.091
79.250	0.100
79.505	0.150
79.807	0.095
79.900	0.080
79.993	0.146
80.550	0.191
80.736	0.287
80.759	0.169
80.898	0.539
81.014	0.365
81.223	0.088
81.502	0.164
81.618	0.124
81.990	0.183
82.245	0.404
82.268	0.181
82.454	0.126
82.547	0.087
82.756	0.096
82.988	0.114
83.244	0.054
83.383	0.044
83.754	0.113
83.778	0.047
83.894	0.034
84.126	0.038
84.242	0.101
84.497	0.141
84.683	0.107
85.008	0.185
85.264	0.174
85.380	0.155
85.403	0.174
85.519	0.191
85.821	0.136
86.007	0.089
86.216	0.080
86.541	0.193
86.750	0.109
86.866	0.068
86.982	0.059
87.237	0.198
87.353	0.174
87.493	0.247
87.609	0.115
87.980	0.122
88.213	0.117
88.514	0.059
88.747	0.075
88.956	0.347
89.002	0.203
89.118	0.270
89.420	0.468
89.559	0.195
89.768	0.232
89.815	0.233
89.954	0.233
90.210	0.228
90.488	0.200
90.511	0.186
90.813	0.062
90.999	0.188
91.185	0.193
91.254	0.154
91.324	0.044
91.580	0.332
91.719	0.201
91.974	0.146
92.230	0.045
92.415	0.036
92.508	0.039
92.717	0.185
92.880	0.102
93.391	0.171
93.507	0.519
93.553	0.156
94.203	0.278
94.250	0.202
94.366	0.098
94.505	0.077
94.668	0.087
94.993	0.110
95.689	0.060
95.736	0.147
95.922	0.102
96.131	0.060
96.409	0.054
96.525	0.121
96.549	0.050
97.292	0.061
99.498	0.150
100.241	0.166
100.264	0.146
100.426	0.109
100.751	0.093
101.007	0.209
101.262	0.142
101.471	0.178
101.750	0.340
101.773	0.096
101.936	0.085
102.214	0.123
102.284	0.098
102.493	0.229
102.609	0.165
103.004	0.139
103.259	0.321
103.282	0.139
103.468	0.107
103.654	0.098
103.770	0.111
104.002	0.195
104.583	0.138
104.768	0.090
104.861	0.044
104.931	0.037
105.233	0.050
105.419	0.075
105.511	0.265
105.604	0.144
105.883	0.143
106.046	0.119
106.255	0.159
106.510	0.082
106.742	0.111
106.905	0.080
106.998	0.204
107.183	0.235
107.416	0.247
107.508	0.206
107.764	0.249
107.810	0.195
107.950	0.200
108.228	0.192
108.484	0.204
108.507	0.169
108.994	0.180
109.250	0.092
109.505	0.039
109.621	0.045
109.738	0.090
109.993	0.264
110.016	0.205
110.481	0.276
110.759	0.193
110.829	0.163
111.247	0.210
111.502	0.385
111.525	0.220
111.665	0.230
111.967	0.351
111.990	0.254
112.292	0.119
112.338	0.093
112.617	0.085
112.733	0.116
112.988	0.359
113.035	0.158
113.453	0.154
113.546	0.170
113.755	0.196
113.847	0.143
114.219	0.197
114.498	0.402
114.544	0.139
114.660	0.136
114.985	0.228
115.217	0.230
115.310	0.142
115.426	0.110
115.496	0.095
115.728	0.123
115.960	0.182
116.262	0.101
116.448	0.093
116.587	0.092
116.750	0.194
116.912	0.176
117.238	0.169
117.493	0.310
117.563	0.156
117.981	0.172
118.236	0.242
118.259	0.193
118.399	0.092
118.608	0.113
118.747	0.127
119.002	0.299
119.095	0.230
119.443	0.286
119.583	0.203
119.722	0.149
119.885	0.170
120.210	0.220
120.279	0.188
120.488	0.278
120.604	0.207
120.721	0.154
121.022	0.137
121.255	0.400
121.278	0.061
121.417	0.046
121.719	0.083
121.765	0.059
121.951	0.491
121.998	0.300
122.091	0.145
122.508	0.176
122.741	0.204
122.810	0.171
122.926	0.127
123.135	0.121
123.252	0.150
123.507	0.165
123.600	0.101
123.902	0.078
124.250	0.262
124.296	0.128
124.598	0.132
124.738	0.154
124.970	0.159
124.993	0.202
125.504	0.214
125.759	0.138
125.806	0.055
125.968	0.042
126.224	0.067
126.479	0.162
126.502	0.190
126.618	0.118
126.781	0.111
126.967	0.137
127.245	0.167
127.338	0.160
127.478	0.115
127.756	0.085
127.803	0.084
127.988	0.185
128.012	0.201
128.522	0.146
128.755	0.078
128.894	0.039
128.964	0.032
129.242	0.056
129.498	0.397
129.521	0.157
129.753	0.113
129.962	0.144
129.985	0.175
130.264	0.144
130.450	0.078
130.775	0.086
131.007	0.195
131.123	0.182
131.379	0.165
131.518	0.140
131.750	0.184
131.843	0.213
132.005	0.166
132.214	0.155
132.493	0.169
132.656	0.083
132.981	0.200
133.259	0.085
133.538	0.041
133.724	0.108
134.002	0.391
134.049	0.213
134.490	0.272
134.513	0.236
134.745	0.205
134.885	0.160
135.187	0.104
135.233	0.188
135.488	0.324
135.558	0.221
135.721	0.217
135.976	0.210
136.092	0.257
136.255	0.118
136.510	0.115
136.766	0.103
136.858	0.134
136.998	0.227
137.114	0.184
137.462	0.165
137.741	0.245
137.764	0.180
137.927	0.136
138.205	0.200
138.228	0.232
138.507	0.222
138.971	0.278
139.250	0.249
139.320	0.090
139.413	0.071
139.714	0.138
139.761	0.133
139.970	0.284
140.109	0.147
140.458	0.082
140.597	0.111
140.759	0.253
140.783	0.155
140.945	0.158
141.038	0.184
141.247	0.194
141.502	0.191
141.735	0.122
141.944	0.178
142.269	0.204
142.338	0.086
142.478	0.054
142.547	0.066
142.756	0.066
142.965	0.117
142.988	0.237
143.290	0.078
143.406	0.200
143.592	0.193
143.732	0.177
143.871	0.175
143.987	0.164
144.219	0.164
144.475	0.208
144.498	0.215
144.753	0.159
144.893	0.166
145.009	0.139
145.241	0.162
145.310	0.040
145.543	0.062
145.682	0.110
145.961	0.481
146.007	0.164
146.750	0.228
146.820	0.127
147.029	0.106
147.238	0.145
147.493	0.264
147.725	0.219
147.841	0.234
147.888	0.232
148.050	0.145
148.259	0.140
148.376	0.060
148.515	0.085
149.002	0.123
149.467	0.218
149.769	0.071
149.862	0.100
150.210	0.259
150.489	0.268
150.558	0.183
150.860	0.148
150.976	0.130
151.092	0.331
151.255	0.318
151.371	0.165
151.603	0.264
151.719	0.246
151.998	0.191
152.764	0.056
152.857	0.050
153.066	0.061
153.275	0.087
153.368	0.078
153.507	0.194
153.577	0.079
153.902	0.113
154.018	0.160
154.227	0.147
154.250	0.124
154.436	0.051
154.668	0.043
154.715	0.115
154.993	0.149
155.597	0.618
155.736	0.483
155.759	0.145
155.899	0.079
156.201	0.128
156.224	0.181
156.502	0.273
156.642	0.223
156.874	0.323
156.920	0.358
157.246	0.453
157.269	0.168
157.594	0.100
157.733	0.114
157.989	0.118
158.499	0.162
158.755	0.155
158.778	0.031
158.894	0.032
159.219	0.045
159.242	0.081
159.498	0.129
159.730	0.184
160.032	0.103
160.264	0.111
160.311	0.087
160.589	0.130
160.705	0.153
160.821	0.138
161.007	0.154
161.286	0.174
161.472	0.237
161.727	0.143
161.820	0.051
161.959	0.078
162.191	0.155
162.447	0.111
162.493	0.274
162.633	0.162
162.842	0.159
163.120	0.224
163.260	0.143
163.399	0.104
163.561	0.059
163.724	0.161
163.886	0.100
164.003	0.149
164.235	0.070
164.513	0.114
164.746	0.078
164.955	0.060
165.233	0.052
165.373	0.046
165.489	0.200
165.535	0.131
165.651	0.097
165.767	0.098
166.046	0.122
166.185	0.195
166.255	0.141
166.417	0.122
166.534	0.085
166.696	0.104
166.859	0.093
166.998	0.283
167.021	0.138
167.160	0.161
167.764	0.244
167.903	0.183
168.205	0.138
168.507	0.198
168.716	0.287
168.763	0.314
168.995	0.216
169.250	0.145
169.366	0.049
169.738	0.149
169.993	0.113
170.713	0.438
170.736	0.136
170.969	0.065
171.085	0.053
171.247	0.111
171.503	0.211
171.619	0.144
171.874	0.227
171.967	0.185
172.060	0.136
172.292	0.059
172.524	0.055
172.594	0.104
172.919	0.101
172.989	0.084
173.244	0.054
173.476	0.159
173.732	0.298
173.755	0.081
173.964	0.070
174.196	0.185
174.219	0.168
174.498	0.188
174.986	0.276
175.241	0.340
175.264	0.180
175.404	0.140
175.729	0.160
176.007	0.197
176.147	0.110
176.356	0.052
176.495	0.050
176.565	0.063
176.750	0.144
176.774	0.051
176.890	0.036
177.191	0.079
177.308	0.075
177.493	0.093
177.702	0.057
177.958	0.152
178.260	0.236
178.306	0.097
178.492	0.137
178.608	0.126
179.003	0.169
179.467	0.239
179.769	0.057
179.792	0.064
180.001	0.126
180.210	0.183
180.326	0.140
180.489	0.119
180.605	0.073
180.860	0.083
181.000	0.145
181.255	0.215
181.487	0.122
181.603	0.140
181.766	0.155
181.998	0.160
182.346	0.381
182.509	0.200
182.764	0.041
182.927	0.039
183.089	0.044
183.252	0.074
183.484	0.094
183.507	0.104
183.972	0.083
184.250	0.169
184.320	0.102
184.506	0.091
184.761	0.082
184.970	0.111
185.017	0.084
185.272	0.068
185.481	0.093
185.760	0.091
185.899	0.074
186.085	0.060
186.224	0.132
186.503	0.468
186.526	0.192
186.967	0.249
186.990	0.254
187.246	0.225
187.408	0.148
187.733	0.169
187.989	0.287
188.035	0.115
188.360	0.055
188.523	0.097
188.639	0.063
188.755	0.094
188.848	0.041
189.103	0.082
189.336	0.044
189.498	0.110
189.591	0.095
189.823	0.138
190.032	0.172
190.195	0.297
190.264	0.120
190.450	0.087
190.682	0.090
190.798	0.088
191.007	0.346
191.054	0.118
191.240	0.117
191.727	0.381
191.750	0.139
192.493	0.134
192.981	0.294
193.236	0.363
193.260	0.051
193.562	0.023
193.701	0.091
193.887	0.125
193.980	0.289
194.142	0.084
194.514	0.476
194.537	0.848
194.723	0.340
194.769	0.166
195.048	0.261
195.233	0.249
195.512	0.167
195.651	0.084
195.767	0.057
195.976	0.089
196.139	0.301
196.255	0.491
196.278	0.155
196.418	0.111
196.534	0.130
196.719	0.176
196.882	0.103
196.998	0.104
197.207	0.048
197.393	0.084
197.462	0.073
197.764	0.050
197.973	0.023
198.089	0.053
198.252	0.093
198.507	0.156
198.949	0.238
199.250	0.327
199.297	0.114
199.715	0.084
199.970	0.121
199.993	0.175
200.760	0.102
200.829	0.038
201.085	0.030
201.317	0.032
201.480	0.057
201.503	0.243
201.689	0.119
201.990	0.267
202.176	0.205
202.246	0.128
202.408	0.138
202.455	0.073
202.733	0.170
202.989	0.208
203.012	0.127
203.198	0.110
203.430	0.128
203.662	0.088
203.755	0.112
203.964	0.202
204.498	0.470
204.545	0.320
204.707	0.124
204.916	0.132
204.986	0.188
205.264	0.088
205.473	0.145
205.729	0.144
205.845	0.133
206.007	0.419
206.031	0.170
206.147	0.114
206.472	0.155
206.518	0.094
206.750	0.113
206.936	0.069
207.238	0.222
207.494	0.208
207.633	0.091
207.981	0.271
208.051	0.236
208.260	0.134
208.376	0.126
208.492	0.160
208.771	0.173
209.003	0.315
209.049	0.203
209.723	0.253
209.769	0.125
210.210	0.282
210.512	0.313
210.582	0.156
210.698	0.167
210.977	0.253
211.302	0.096
211.418	0.073
211.511	0.095
211.789	0.143
211.929	0.177
211.975	0.185
212.091	0.088
212.230	0.054
212.370	0.054
212.602	0.054
212.695	0.079
212.764	0.118
212.927	0.155
213.206	0.419
213.229	0.416
213.507	0.083
213.600	0.077
213.809	0.073
213.972	0.120
214.158	0.102
214.274	0.069
214.552	0.046
214.715	0.059
214.947	0.094
214.970	0.077
215.203	0.054
215.365	0.104
215.574	0.123
215.737	0.131
215.969	0.070
216.201	0.081
216.456	0.198
216.503	0.274
216.596	0.079
216.990	0.119
217.246	0.116
217.339	0.041
217.525	0.030
217.687	0.072
217.966	0.181
217.989	0.112
218.453	0.156
218.732	0.136
218.941	0.099
219.243	0.144
219.475	0.200
219.498	0.187
219.730	0.270
219.893	0.177
219.986	0.172
220.264	0.187
220.427	0.099
220.752	0.140
220.984	0.174
221.008	0.142
221.472	0.186
221.751	0.125
221.820	0.037
222.006	0.027
222.215	0.089
222.494	0.170
222.517	0.145
222.656	0.067
222.981	0.186
223.260	0.324
223.330	0.170
223.631	0.105
223.747	0.094
224.003	0.300
224.096	0.171
224.165	0.124
224.467	0.111
224.653	0.059
224.746	0.076
224.955	0.056
225.234	0.063
225.489	0.252
225.582	0.076
225.675	0.057
225.977	0.155
226.139	0.179
226.255	0.148
226.464	0.052
226.743	0.116
226.905	0.182
226.998	0.341
227.068	0.128
227.370	0.055
227.416	0.078
227.625	0.163
227.765	0.196
227.904	0.194
227.997	0.150
228.229	0.122
228.508	0.126
228.786	0.042
228.972	0.237
229.135	0.155
229.251	0.071
229.506	0.028
229.715	0.095
229.924	0.102
229.994	0.269
230.063	0.121
230.458	0.196
230.737	0.144
230.760	0.219
230.876	0.166
231.015	0.122
231.248	0.246
231.503	0.152
231.991	0.254
232.246	0.257
232.269	0.122
232.385	0.113
232.710	0.132
232.734	0.103
232.989	0.131
233.221	0.068
233.477	0.179
233.546	0.104
233.755	0.185
233.779	0.097
233.918	0.081
234.220	0.219
234.243	0.119
234.498	0.298
234.591	0.167
234.847	0.100
234.940	0.090
235.265	0.104
235.311	0.106
235.427	0.074
235.659	0.259
235.961	0.363
235.984	0.385
236.286	0.144
236.379	0.227
236.449	0.241
236.751	0.181
236.844	0.242
236.913	0.218
237.238	0.252
237.331	0.289
237.494	0.175
237.633	0.074
237.981	0.144
238.260	0.206
238.376	0.103
238.608	0.055
238.678	0.084
238.980	0.332
239.003	0.080
239.328	0.047
239.398	0.107
239.723	0.221
239.839	0.122
239.955	0.074
240.257	0.100
240.489	0.381
240.512	0.131
240.791	0.047
240.977	0.108
241.255	0.094
241.371	0.050
241.441	0.024
241.697	0.075
241.998	0.517
242.022	0.129
242.741	0.156
242.927	0.082
243.043	0.154
243.229	0.157
243.508	0.267
