time	type
0.329	2
1.066	1
1.813	1
2.562	2
3.311	1
4.060	1
4.813	1
5.564	2
6.317	1
7.066	1
7.816	1
8.565	2
9.319	1
10.066	1
10.818	1
11.565	2
12.319	1
13.066	1
13.817	1
14.565	2
15.318	1
16.066	1
16.817	1
17.565	2
18.319	1
19.066	1
19.812	1
20.558	2
21.310	1
22.056	1
22.807	1
23.555	2
24.296	1
25.050	1
25.802	1
26.550	2
27.304	1
28.054	1
28.805	1
29.566	2
30.316	1
31.063	1
31.813	1
32.564	2
33.319	1
34.066	1
34.817	1
35.567	2
36.332	1
37.084	1
37.827	1
38.570	2
39.326	1
40.077	1
40.830	1
41.568	2
42.316	1
43.067	1
43.815	1
44.560	2
45.307	1
46.057	1
46.809	1
47.557	2
48.311	1
49.062	1
49.813	1
50.563	2
51.311	1
52.060	1
52.813	1
53.576	2
54.353	1
55.135	1
55.916	1
56.698	2
57.480	1
58.264	1
59.038	1
59.798	2
60.551	1
61.299	1
62.040	1
62.784	2
63.516	1
64.236	1
64.955	1
65.670	2
66.392	1
67.117	1
67.837	1
68.570	2
69.315	1
70.061	1
70.812	1
71.561	2
72.320	1
73.073	1
73.827	1
74.575	2
75.327	1
76.076	1
76.824	1
77.565	2
78.317	1
79.062	1
79.811	1
80.558	2
81.311	1
82.058	1
82.807	1
83.555	2
84.309	1
85.056	1
85.809	1
86.556	2
87.305	1
88.049	1
88.784	1
89.520	2
90.265	1
91.009	1
91.756	1
92.505	2
93.259	1
94.025	1
94.785	1
95.543	2
96.303	1
97.066	1
97.828	1
98.583	2
99.333	1
100.085	1
100.835	1
101.582	2
102.323	1
103.067	1
103.816	1
104.566	2
105.315	1
106.065	1
106.817	1
107.567	2
108.320	1
109.069	1
109.822	1
110.572	2
111.324	1
112.070	1
112.820	1
113.566	2
114.314	1
115.059	1
115.809	1
116.558	2
117.311	1
118.052	1
118.798	1
119.549	2
120.302	1
121.050	1
121.799	1
122.549	2
123.308	1
124.062	1
124.813	1
125.562	2
126.312	1
127.060	1
127.810	1
128.557	2
129.309	1
130.055	1
130.805	1
131.558	2
132.310	1
133.063	1
133.818	1
134.569	2
135.323	1
136.073	1
136.824	1
137.573	2
138.321	1
139.068	1
139.818	1
140.565	2
141.316	1
142.060	1
142.806	1
143.555	2
144.305	1
145.053	1
145.805	1
146.554	2
147.308	1
148.062	1
148.808	1
149.557	2
150.319	1
151.082	1
151.851	1
152.633	2
153.419	1
154.202	1
154.985	1
155.757	2
156.515	1
157.278	1
158.033	1
158.783	2
159.541	1
160.290	1
161.040	1
161.790	2
162.540	1
163.288	1
164.039	1
164.785	2
165.541	1
166.295	1
167.058	1
167.807	2
168.559	1
169.305	1
170.051	1
170.792	2
171.533	1
172.277	1
173.026	1
173.773	2
174.526	1
175.282	1
176.041	1
176.800	2
177.555	1
178.307	1
179.058	1
179.807	2
180.555	1
181.301	1
182.050	1
182.801	2
183.552	1
184.305	1
185.054	1
185.802	2
186.551	1
187.299	1
188.046	1
188.794	2
189.546	1
190.295	1
191.046	1
191.798	2
192.549	1
193.303	1
194.058	1
194.821	2
195.593	1
196.376	1
197.161	1
197.945	2
198.732	1
199.513	1
200.283	1
201.048	2
201.799	1
202.549	1
203.302	1
204.051	2
204.805	1
205.556	1
206.305	1
207.059	2
207.811	1
208.559	1
209.309	1
210.057	2
210.803	1
211.548	1
212.295	1
213.042	2
213.790	1
214.535	1
215.282	1
216.033	2
216.788	1
217.537	1
218.289	1
219.044	2
219.800	1
220.553	1
221.305	1
222.054	2
222.807	1
223.555	1
224.304	1
225.053	2
225.806	1
226.559	1
227.312	1
228.061	2
228.813	1
229.560	1
230.310	1
231.058	2
231.805	1
232.552	1
233.300	1
234.038	2
234.777	1
235.524	1
236.276	1
237.026	2
237.779	1
238.525	1
239.282	1
240.045	2
240.798	1
241.546	1
242.297	1
243.049	2
243.810	1
244.568	1
245.321	1
246.073	2
246.825	1
247.573	1
248.320	1
249.064	2
249.811	1
250.557	1
251.306	1
252.055	2
252.807	1
253.560	1
254.311	1
255.062	2
255.814	1
256.564	1
257.317	1
258.068	2
258.817	1
259.568	1
260.316	1
261.066	2
261.817	1
262.563	1
263.312	1
264.062	2
264.812	1
265.558	1
266.303	1
267.053	2
267.805	1
268.552	1
269.302	1
270.053	2
270.810	1
271.563	1
272.312	1
273.062	2
273.814	1
274.562	1
275.312	1
276.060	2
276.811	1
277.562	1
278.312	1
279.062	2
279.815	1
280.563	1
281.316	1
282.069	2
282.820	1
283.569	1
284.318	1
285.068	2
285.820	1
286.567	1
287.315	1
288.064	2
288.817	1
289.560	1
290.306	1
291.053	2
291.804	1
292.551	1
293.300	1
294.049	2
294.806	1
295.558	1
296.307	1
297.057	2
297.814	1
298.564	1
299.314	1
300.069	1
300.825	1
301.574	1
