time	chordName	chordKey	chordMode	chordNotes
0.000	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
0.720	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
1.300	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
1.370	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
1.974	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
2.717	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
2.740	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
3.204	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
3.506	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
3.994	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
4.063	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
4.249	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
4.737	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
4.992	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
5.480	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
5.759	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
5.968	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
6.130	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
6.293	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
6.502	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
6.571	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
7.012	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
7.245	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
7.268	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
7.384	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
7.616	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
7.732	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
7.988	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
8.382	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
8.754	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
8.847	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
9.033	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
9.218	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
9.265	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
9.497	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
9.613	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
9.985	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
10.263	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
10.286	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
10.728	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
10.797	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
11.006	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
11.749	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
11.958	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
12.028	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
12.283	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
12.423	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
12.492	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
12.608	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
12.725	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
13.050	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
13.282	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
13.375	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
13.514	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
