time	MFCC	ZC	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
0.000	[-0.091501136100451921, 0.15002546738081035, -0.071742724596676868, -0.20618678581002026, 0.029970227722729288, -0.011704102632257584]	0.390	A#	94	10	6	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.100
0.720	[0.0093062756198284205, 0.023741115213563466, -0.080229241306828125, -0.056129113817083229, -0.032155518510902793, -0.03911485948100691]	0.379	G#	56	8	3	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.145
1.300	[0.25414565833412583, 0.10916173047279003, -0.048194073817825422, -0.16522523944046347, 0.10356889768267363, -0.07109860361419347]	0.058	G	43	7	2	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.676
1.370	[0.082662479715863144, 0.03658805194974793, -0.01262060694435831, -0.028605543635416918, -0.0095773696814526812, -0.024473429144257777]	0.109	G#	44	8	2	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.292
1.974	[0.011573392771634149, 0.027654342907247394, -0.059349925717936763, -0.04910095640424221, -0.014804271974763828, 0.00072683104219933218]	0.252	G	43	7	2	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.097
2.717	[0.22072645291132831, 0.37173515480064667, -0.19565399383866305, -0.18980339945201824, 0.057819242064502202, 0.06208853915370819]	0.144	A	57	9	3	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.167
2.740	[0.11023990053314153, 0.08937451466798009, -0.066391624541312214, -0.11068620702605693, -0.01774813068711633, -0.029419317574830513]	0.081	D#	51	3	3	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.270
3.204	[0.015224114380571658, -0.010499460435123285, -0.15236605524666294, -0.068169287439881487, -0.018245701111262454, 0.015196533028873006]	0.254	A#	70	10	4	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.167
3.506	[0.0054358795442934508, 0.018842352011557508, -0.085582335065757187, -0.12593152658601775, 0.00043446958759812911, -0.05280068222798371]	0.260	G	43	7	2	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.183
3.994	[-0.025332671797915526, 0.09346992622225532, -0.085759587430514969, -0.181700302592435, 0.069368512911664251, 0.077625992292497129]	0.259	G	55	7	3	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.229
4.063	[-0.0086889591485478038, 0.046235969080791001, -0.12796673841213113, -0.13944715558392584, 0.076601874202655185, 0.017308448129735341]	0.254	G#	56	8	3	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.195
4.249	[0.046533733964421009, 0.010105697804365861, -0.034648088555212363, -0.047433872774822333, -0.0046401858346373582, -0.0089486331729188937]	0.204	E	40	4	2	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.245
4.737	[-0.0019549571279937825, 0.010566626568817159, -0.054422569108277433, -0.087402565572374372, 0.080446157191537651, -0.062177566925149877]	0.223	E	40	4	2	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.218
4.992	[-0.01651507067629971, -0.015988588973937849, -0.019383764592273468, -0.0055464326337784893, 0.020662882842952791, -0.017187316609138449]	0.171	G	43	7	2	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]	0.142
5.480	[0.016672686945663893, -0.020671498590387655, -0.00050995515935457758, -0.060871756221200432, 0.015530313864604262, 0.0056998702354194852]	0.161	G#	56	8	3	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.129
5.759	[0.053298502407891239, -0.0031149236081212629, -0.040368555570660103, -0.050352357277546091, -0.091529729844552252, -0.04842370046029839]	0.041	A#	46	10	2	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]	0.687
5.968	[0.25022353705166228, 0.073689667541184223, -0.10359528142272131, -0.16091421201062078, -0.043348754776773205, -0.036866638894261644]	0.022	F	41	5	2	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]	0.591
6.130	[0.17300674578615002, 0.12024149696668, -0.11412832920865341, -0.1575060796874046, -0.057883849539521769, -0.083196069628230493]	0.037	A	45	9	2	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.460
