time	noteName	noteMIDI	noteKey	noteOctave
0.000	A#	94	10	6
0.720	G#	56	8	3
1.300	G	43	7	2
1.370	G#	44	8	2
1.974	G	43	7	2
2.717	A	57	9	3
2.740	D#	51	3	3
3.204	A#	70	10	4
3.506	G	43	7	2
3.994	G	55	7	3
4.063	G#	56	8	3
4.249	E	40	4	2
4.737	E	40	4	2
4.992	G	43	7	2
5.480	G#	56	8	3
5.759	A#	46	10	2
5.968	F	41	5	2
6.130	A	45	9	2
6.293	B	47	11	2
6.502	G	43	7	2
6.571	G	43	7	2
7.012	F#	42	6	2
7.245	F	53	5	3
7.268	G#	56	8	3
7.384	G#	56	8	3
7.616	C#	13	1	0
7.732	G#	44	8	2
7.988	G#	56	8	3
8.382	G#	56	8	3
8.754	G	43	7	2
8.847	F#	42	6	2
9.033	F	-7	5	-2
9.218	A	57	9	3
9.265	G	43	7	2
9.497	F#	42	6	2
9.613	A#	58	10	3
9.985	A#	58	10	3
10.263	F	41	5	2
10.286	E	40	4	2
10.728	F	41	5	2
10.797	E	40	4	2
11.006	E	40	4	2
11.749	A#	46	10	2
11.958	C	48	0	3
12.028	B	47	11	2
12.283	A#	34	10	1
12.423	C	48	0	3
12.492	A	45	9	2
12.608	F#	54	6	3
12.725	B	23	11	0
13.050	G#	56	8	3
13.282	A	45	9	2
13.375	F#	42	6	2
13.514	G#	44	8	2
13.978	G#	92	8	6
14.002	G#	44	8	2
14.768	F	53	5	3
14.814	F#	42	6	2
15.209	G#	56	8	3
15.488	F	41	5	2
15.511	G	43	7	2
15.650	G#	44	8	2
16.068	A#	58	10	3
16.254	F	41	5	2
16.324	F#	42	6	2
16.463	B	47	11	2
16.742	B	47	11	2
16.997	C	48	0	3
17.020	G	43	7	2
17.763	G	43	7	2
17.856	F#	54	6	3
18.112	G#	56	8	3
18.251	F#	42	6	2
18.506	C	36	0	2
18.553	G#	56	8	3
18.971	A#	94	10	6
19.064	A#	94	10	6
19.296	F	41	5	2
19.365	G	43	7	2
19.458	F	41	5	2
19.621	F	41	5	2
19.760	C#	61	1	4
19.969	G	43	7	2
20.712	C	48	0	3
20.735	C#	49	1	3
20.991	C#	49	1	3
21.153	A	57	9	3
21.269	A#	70	10	4
21.502	C	36	0	2
21.548	F#	54	6	3
21.711	F#	54	6	3
21.896	A#	58	10	3
22.082	A#	58	10	3
22.268	G	43	7	2
22.361	G#	44	8	2
22.639	F	17	5	0
22.779	C#	1	1	-1
22.895	G	43	7	2
22.988	F#	6	6	-1
23.243	G	-5	7	-2
23.406	D	2	2	-1
23.731	C	48	0	3
23.754	D#	51	3	3
24.242	D#	75	3	5
24.497	A#	34	10	1
24.636	A#	58	10	3
24.706	A	57	9	3
24.985	B	47	11	2
25.240	F	41	5	2
25.287	F#	42	6	2
25.472	A	57	9	3
25.612	G#	44	8	2
25.728	G#	44	8	2
25.983	A	57	9	3
26.749	G	43	7	2
26.842	G	43	7	2
26.912	D	50	2	3
27.051	G#	56	8	3
27.492	F	53	5	3
27.609	G	55	7	3
27.701	F	53	5	3
27.980	G#	56	8	3
28.259	D#	39	3	2
28.421	A	57	9	3
28.630	A	57	9	3
28.793	G	43	7	2
29.002	F#	42	6	2
29.118	A	57	9	3
29.234	F	29	5	1
29.513	E	52	4	3
29.768	A#	46	10	2
29.861	C	48	0	3
29.907	B	47	11	2
30.209	C	48	0	3
30.256	B	47	11	2
30.488	F#	42	6	2
30.604	G	55	7	3
30.975	G	55	7	3
31.254	A	57	9	3
31.300	G#	44	8	2
31.486	G#	44	8	2
31.974	A	57	9	3
31.997	G#	56	8	3
32.485	G#	56	8	3
32.740	D	50	2	3
32.833	D#	39	3	2
32.949	G#	56	8	3
33.205	G#	56	8	3
33.483	C	60	0	4
33.506	G	43	7	2
33.785	A	57	9	3
33.878	D#	39	3	2
33.994	D#	39	3	2
34.249	E	40	4	2
34.528	G#	56	8	3
34.737	E	40	4	2
34.992	D#	99	3	7
35.016	G#	56	8	3
35.759	B	47	11	2
35.898	B	47	11	2
36.061	B	47	11	2
36.246	G	43	7	2
36.386	B	47	11	2
36.502	C	48	0	3
36.525	G#	44	8	2
36.897	G	55	7	3
37.059	A	45	9	2
37.105	B	47	11	2
37.314	A#	-2	10	-2
37.454	G#	44	8	2
37.709	G#	56	8	3
37.895	A	33	9	1
37.988	B	71	11	4
38.034	B	-13	11	-3
38.545	G#	56	8	3
38.708	A	57	9	3
38.754	D#	51	3	3
38.870	G#	56	8	3
38.986	D#	39	3	2
39.219	D#	39	3	2
39.335	G	43	7	2
39.497	G	103	7	7
39.544	G#	56	8	3
39.706	A	57	9	3
39.985	G	55	7	3
40.263	B	47	11	2
40.449	B	47	11	2
40.681	G#	56	8	3
40.844	G#	56	8	3
41.006	A	57	9	3
41.053	A	57	9	3
41.773	G	43	7	2
42.423	F	53	5	3
42.493	F#	54	6	3
42.609	G	55	7	3
43.003	A	57	9	3
43.027	G#	56	8	3
43.305	F	41	5	2
43.398	G	43	7	2
43.491	G#	56	8	3
43.700	F	41	5	2
43.979	F#	42	6	2
44.327	E	-8	4	-2
44.722	F#	102	6	7
44.768	D	50	2	3
44.907	C#	49	1	3
45.186	G	55	7	3
45.232	A	57	9	3
45.488	A	45	9	2
45.581	F#	42	6	2
45.697	B	71	11	4
45.906	F	-7	5	-2
46.092	D	62	2	4
46.254	G#	56	8	3
46.440	D#	63	3	4
46.533	D#	63	3	4
46.672	E	64	4	4
46.881	D#	39	3	2
46.997	F	41	5	2
47.090	G#	56	8	3
47.322	C	60	0	4
47.763	B	47	11	2
47.949	B	47	11	2
48.158	A#	46	10	2
48.251	B	47	11	2
48.506	G#	56	8	3
48.785	G	55	7	3
48.901	G#	56	8	3
48.994	G	55	7	3
49.250	G	43	7	2
49.319	G#	44	8	2
49.551	G#	44	8	2
49.714	A	57	9	3
49.969	F	29	5	1
49.993	G#	32	8	1
50.411	G	55	7	3
50.480	G#	44	8	2
50.759	D	50	2	3
50.852	D#	51	3	3
51.200	F#	54	6	3
51.479	F	53	5	3
51.502	F#	54	6	3
51.618	G	55	7	3
51.757	G#	56	8	3
52.013	G#	56	8	3
52.268	G#	56	8	3
52.361	F	29	5	1
52.454	G#	56	8	3
