time	chroma	timbre	dB
0.000	[0.29, 0.302, 0.165, 0.466, 0.114, 0.181, 0.141, 0.256, 1.0, 0.264, 0.347, 0.606]	[0.078, 171.636, 11.619, -30.481, 55.975, -50.99, 15.304, 4.734, -28.195, 0.501, -7.982, -8.27]	-60.000
0.284	[0.045, 0.017, 0.016, 0.107, 0.012, 0.028, 0.067, 0.528, 1.0, 0.027, 0.035, 0.228]	[12.017, 108.887, 34.174, -79.737, -37.769, 24.857, 6.337, -14.66, -82.265, 12.012, -3.187, 18.147]	-58.791
1.009	[0.032, 0.012, 0.026, 0.091, 0.059, 0.148, 0.311, 0.312, 1.0, 0.042, 0.028, 0.101]	[24.345, 128.082, 2.173, 10.062, -47.734, 61.527, -1.0, -22.115, -86.149, 10.609, -16.126, 22.717]	-47.077
1.759	[0.037, 0.035, 0.023, 0.104, 0.026, 0.04, 0.088, 0.994, 1.0, 0.033, 0.127, 0.155]	[34.887, 210.282, 12.647, -45.485, -41.218, 87.59, -9.231, 6.61, -83.333, 2.258, 13.684, 6.472]	-42.096
2.496	[0.034, 0.028, 0.025, 0.09, 0.027, 0.106, 0.262, 0.762, 1.0, 0.074, 0.134, 0.111]	[39.759, 217.441, 18.213, 4.097, -61.928, 19.774, -30.576, 16.027, -91.879, 0.667, -4.163, 12.693]	-27.727
3.035	[0.003, 0.007, 0.008, 0.01, 0.003, 0.005, 0.022, 0.41, 1.0, 0.021, 0.007, 0.005]	[41.206, 88.219, -41.704, 5.38, -63.328, 8.514, -29.479, -1.822, -54.892, 20.733, -11.414, -0.192]	-24.244
3.482	[0.01, 0.011, 0.012, 0.021, 0.01, 0.079, 0.267, 0.212, 1.0, 0.134, 0.015, 0.025]	[36.033, 113.681, -15.447, -34.664, -59.382, -12.634, 12.96, 0.97, -67.31, -10.596, 0.591, -4.585]	-27.334
3.767	[0.08, 0.074, 0.116, 0.194, 0.146, 0.144, 0.215, 0.593, 1.0, 0.206, 0.088, 0.087]	[34.966, 129.427, -36.461, 59.167, -55.079, -18.587, -17.28, -26.02, -60.629, -12.063, -17.307, 0.221]	-25.992
4.232	[0.092, 0.084, 0.025, 0.055, 0.029, 0.291, 0.634, 0.382, 1.0, 0.069, 0.103, 0.081]	[35.477, 172.739, 29.071, -67.972, -45.937, 36.879, -5.713, -1.219, -69.436, -6.781, 6.966, 7.616]	-34.301
4.509	[0.016, 0.036, 0.083, 1.0, 0.066, 0.202, 0.505, 0.096, 0.087, 0.094, 0.185, 0.021]	[40.142, 97.761, -62.267, -6.222, -45.885, -0.782, -33.398, -23.508, -43.026, 24.904, -9.325, -0.342]	-23.633
4.951	[0.044, 0.058, 0.086, 0.261, 0.052, 0.096, 0.18, 0.731, 1.0, 0.348, 0.844, 0.126]	[39.074, 90.161, 4.471, -99.045, -33.358, 8.551, -45.851, 26.203, -38.661, -21.755, 0.094, -5.64]	-25.646
5.288	[0.061, 0.122, 0.035, 0.084, 0.047, 0.224, 0.336, 1.0, 0.512, 0.209, 0.739, 0.087]	[41.164, 142.231, -58.821, 42.881, -36.184, -24.624, -37.511, -6.176, -61.361, 2.118, -19.979, 5.662]	-19.243
5.607	[0.181, 0.131, 0.087, 0.152, 0.056, 0.073, 0.056, 0.104, 0.725, 0.377, 1.0, 0.294]	[33.166, 79.17, -15.58, -31.542, -28.6, -28.498, -50.312, -20.459, -36.801, -0.192, -7.679, -5.432]	-28.979
5.754	[0.033, 0.017, 0.02, 0.063, 0.015, 0.053, 0.198, 0.728, 1.0, 0.121, 0.826, 0.337]	[41.919, 124.135, 5.227, -45.399, -39.032, 35.636, -29.361, 10.181, -65.626, 4.283, 12.033, 7.846]	-27.818
6.048	[0.02, 0.03, 0.041, 0.163, 1.0, 0.058, 0.041, 0.029, 0.236, 0.042, 0.076, 0.1]	[44.766, 139.011, -11.441, 36.196, -63.396, -38.11, -22.523, -18.775, -73.908, 9.585, -13.495, 21.175]	-20.954
6.519	[0.054, 0.068, 0.031, 0.291, 1.0, 0.175, 0.107, 0.535, 0.654, 0.076, 0.266, 0.176]	[42.287, 124.287, -23.79, -29.497, -49.95, -10.011, -44.205, -8.541, -41.923, 0.136, -4.039, 4.241]	-20.924
6.791	[0.062, 0.08, 0.125, 0.336, 0.613, 0.323, 0.27, 0.774, 1.0, 0.115, 0.146, 0.162]	[38.376, 111.282, -45.034, 45.462, -49.511, -42.264, -56.924, -17.015, -35.097, -8.743, -30.109, 3.855]	-19.599
7.250	[0.103, 0.094, 0.066, 0.168, 0.776, 0.286, 0.766, 0.348, 1.0, 0.072, 0.066, 0.105]	[34.659, 120.211, -24.652, -57.608, -42.803, 12.73, -41.022, -1.984, -38.966, -12.633, -0.394, -7.62]	-30.489
7.536	[0.041, 0.012, 0.015, 0.011, 0.029, 0.133, 0.046, 0.017, 0.043, 0.009, 0.047, 1.0]	[40.922, 14.347, -87.292, -4.507, -35.166, 5.269, -11.323, -37.169, -53.528, 54.516, -19.913, 6.535]	-25.917
8.002	[0.104, 0.007, 0.006, 0.009, 0.042, 0.021, 0.063, 0.25, 0.117, 0.007, 0.071, 1.0]	[41.028, 49.749, -76.09, -88.534, -40.984, 9.925, -26.883, 2.203, -14.759, -18.199, 10.137, -25.977]	-26.485
8.283	[0.054, 0.043, 0.047, 0.062, 0.061, 0.082, 0.212, 0.875, 1.0, 0.045, 0.058, 0.268]	[40.204, 103.368, -83.827, 50.113, -57.042, -19.354, -37.531, -7.553, -38.051, -8.555, -22.031, -6.484]	-19.519
8.753	[0.022, 0.017, 0.021, 0.032, 0.154, 0.07, 0.2, 1.0, 0.54, 0.041, 0.017, 0.072]	[37.23, 150.026, -22.0, -78.236, -55.668, 10.773, -26.572, -18.032, -46.525, -13.922, 4.157, -9.11]	-29.403
