time	type
1.446	2
1.916	1
2.370	1
2.824	1
3.284	2
3.742	1
4.197	1
4.654	1
5.113	2
5.577	1
6.043	1
6.508	1
6.970	2
7.436	1
7.903	1
8.369	1
8.830	2
9.292	1
9.753	1
10.218	1
10.680	2
11.142	1
11.603	1
12.064	1
12.524	2
12.985	1
13.446	1
13.907	1
14.368	2
14.831	1
15.291	1
15.754	1
16.217	2
16.678	1
17.140	1
17.603	1
18.065	2
18.532	1
18.997	1
19.461	1
19.923	2
20.385	1
20.845	1
21.306	1
21.764	2
22.221	1
22.679	1
23.138	1
23.598	2
24.060	1
24.521	1
24.982	1
25.444	2
25.905	1
26.367	1
26.829	1
27.289	2
27.751	1
28.212	1
28.673	1
29.134	2
29.596	1
30.057	1
30.520	1
30.981	2
31.444	1
31.905	1
32.368	1
32.828	2
33.290	1
33.754	1
34.215	1
34.680	2
35.142	1
35.602	1
36.065	1
36.528	2
36.989	1
37.453	2
37.911	1
38.372	1
38.835	1
39.296	2
39.757	1
40.217	1
40.677	1
41.140	2
41.602	1
42.067	1
42.530	1
42.994	2
43.457	1
43.918	1
44.378	1
44.837	2
45.295	1
45.755	1
46.213	1
46.672	2
47.133	1
47.595	1
48.059	1
48.523	2
48.985	1
49.444	1
49.905	1
50.367	2
50.828	1
51.288	1
51.746	1
52.207	2
52.670	1
53.133	1
53.593	1
54.055	2
54.516	1
54.980	1
55.444	1
55.907	2
56.369	1
56.830	1
57.292	1
57.753	2
58.215	1
58.674	1
59.136	1
59.599	2
60.063	1
60.523	1
60.986	1
61.448	2
61.911	1
62.371	1
62.832	1
63.296	2
63.757	1
64.215	1
64.676	1
65.138	2
65.601	1
66.061	1
66.520	1
66.983	2
67.448	1
67.910	1
68.371	1
68.833	2
69.297	1
69.758	1
70.219	1
70.682	2
71.142	1
71.602	1
72.062	1
72.522	2
72.984	1
73.446	1
73.906	1
74.371	2
74.834	1
75.295	1
75.756	1
76.217	2
76.678	1
77.141	1
77.604	1
78.071	2
78.537	1
78.996	1
79.460	1
79.922	2
80.384	1
80.843	1
81.299	1
81.758	2
82.224	1
82.684	1
83.144	1
83.606	2
84.069	1
84.533	1
84.995	1
85.456	2
85.922	1
86.388	1
86.852	1
87.313	2
87.772	1
88.230	1
88.690	1
89.148	2
89.605	1
90.063	1
90.525	2
90.988	1
91.452	1
91.913	1
92.374	2
92.835	1
93.295	1
93.755	1
94.216	2
94.678	1
95.144	1
95.609	1
96.072	2
96.536	1
96.999	1
97.460	1
97.920	2
98.380	1
98.840	1
99.304	1
99.766	2
100.229	1
100.691	1
101.153	1
101.612	2
102.073	1
102.534	1
102.996	1
103.457	2
103.919	1
104.382	1
104.843	1
105.302	2
105.760	1
106.220	1
106.678	1
107.138	2
107.600	1
108.062	1
108.526	1
108.984	2
109.440	1
109.898	1
110.362	1
110.820	2
111.275	1
111.729	1
112.188	1
112.656	2
113.126	1
113.588	1
114.049	1
114.516	2
114.984	1
115.451	1
115.914	1
116.376	2
116.838	1
117.304	1
117.767	1
118.229	2
118.692	1
119.151	1
119.610	1
120.069	2
120.529	1
120.988	1
121.448	1
121.910	2
122.373	1
122.837	1
123.298	1
123.759	2
124.220	2
124.683	1
125.142	1
125.602	1
126.062	2
126.523	1
126.985	1
127.447	1
127.907	2
128.368	1
128.828	1
129.288	1
129.750	2
130.211	1
130.672	1
131.135	1
131.596	2
132.058	1
132.520	1
132.981	1
133.444	2
133.906	1
134.366	1
134.828	1
135.290	2
135.753	1
136.213	1
136.674	1
137.139	2
137.603	1
138.068	1
138.532	1
138.992	2
139.452	1
139.911	1
140.371	1
140.833	2
141.292	1
141.751	1
142.213	1
142.678	2
143.142	1
143.601	1
144.062	1
144.525	2
144.988	1
145.451	1
145.914	1
146.379	2
146.842	1
147.303	1
147.762	1
148.220	2
148.679	1
149.138	1
149.596	1
150.055	2
150.516	1
150.977	1
151.443	1
151.907	2
152.369	1
152.829	1
153.291	1
153.752	2
154.213	1
154.672	1
155.132	1
155.595	2
156.057	1
156.519	1
156.983	1
157.446	2
157.908	1
158.370	1
158.832	1
159.296	2
159.757	1
160.218	1
160.679	1
161.141	2
161.601	1
162.062	1
162.523	1
162.987	2
163.448	1
163.909	1
164.371	1
164.833	2
165.295	1
165.755	1
166.215	1
166.679	2
167.141	1
167.602	1
168.063	1
168.524	2
168.984	1
169.443	1
169.901	1
170.363	2
170.825	1
171.287	1
171.749	1
172.212	2
172.675	1
173.137	1
173.599	1
174.062	2
174.521	1
174.980	1
175.441	1
175.902	2
176.364	1
176.825	1
177.285	1
177.749	2
178.212	1
178.674	1
179.136	1
179.597	2
180.060	1
180.525	1
180.990	1
181.457	2
181.924	1
182.385	1
182.848	1
183.309	2
183.769	1
184.228	1
184.684	1
185.144	2
185.606	1
186.066	1
186.529	1
186.991	2
187.453	1
187.916	1
188.378	1
188.841	2
189.305	1
189.765	1
190.228	1
190.688	2
191.148	1
191.606	1
192.066	1
192.527	2
192.987	1
193.447	1
193.909	1
194.371	2
194.835	1
195.295	1
195.757	1
196.220	2
196.679	1
197.139	1
197.602	1
198.067	2
198.534	1
199.000	1
199.462	1
199.927	2
200.390	1
200.849	1
201.307	1
201.767	2
202.227	1
202.691	1
203.154	1
203.616	2
204.078	1
204.539	1
204.998	1
205.460	2
205.921	1
206.384	1
206.847	1
207.309	2
207.772	1
208.233	1
208.691	1
209.147	2
209.603	1
210.061	1
210.523	1
210.988	2
211.454	1
211.917	1
212.381	1
212.847	1
213.314	1
213.769	1
214.238	1
