MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[-0.12823345565463767, -0.11108405287555059, -0.094901203667626513, -0.089859071124221201, -0.076896052806384979, -0.013688039841943386, -0.029984276257690876, -0.00098024395857974423, 0.038874046873886466, 0.054862570390374198, -0.010213403958742651, -0.0011751735065864501]	0.162	0.000	D	62	2	4	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.492
[-0.095228778814130638, -0.026108492659341242, -0.046452537304956638, -0.086590694540746582, -0.089329388464263443, -0.030985553267045461, 0.0021299643936994995, -0.094291656889111022, 0.038998200617007657, 0.040365468392384619, -0.014333886260573468, -0.00186376381625134]	0.132	0.209	A	81	9	5	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.416
[-0.031140907462870529, -0.081003358434558012, -0.03749453501146402, -0.067579606720483687, -0.10576032564369527, -0.065136846773863957, 0.002050085825553744, -0.086332170873141281, -0.013341770388914076, 0.011505189531194004, -0.010786297876137822, 0.043736325096352967]	0.199	0.441	F#	102	6	7	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.340
[-0.13146999172272805, -0.085707177807467005, 0.036762335950231838, -0.068160550769312309, -0.041283944341333069, -0.041366260275550508, 0.039573380289829325, -0.068737421598160306, 0.011677083981119852, 0.025595589386975825, -0.0034561485324937995, 0.030337517468261653]	0.187	1.115	B	47	11	2	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.364
[-0.10128209403015478, -0.019206577648250924, -0.086463442519432873, -0.07768076840829051, -0.074261577204166318, -0.036709780655254931, -0.0086690779952281576, -0.03962695314052736, 0.026516777795207856, 0.021283986694488503, -0.0016316047406014413, 0.063153416846936594]	0.190	1.347	C	48	0	3	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]	0.358
[-0.13288399889831387, -0.067409469143693307, -0.048024287447806575, -0.071727318808931503, -0.071393258515355898, -0.078379396011165184, -0.012549153829871811, -0.045965982481759031, 0.012458765546464426, -0.0046228932930539235, 0.023624170303597113, 0.0031791166281919673]	0.202	1.579	F#	102	6	7	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.353
[-0.029206900661854059, -0.01855285624088478, -0.046897903107613055, -0.044334654189902484, -0.056001892922241198, -0.053514778750220496, -0.010129100980887994, -0.063287279959109474, -0.011151518860416487, -0.038897392098844845, 0.022595065855796338, 0.052638977108279757]	0.202	1.788	E	100	4	7	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.350
[0.00019300857073629269, -0.050433907535371802, -0.016293750730850137, -0.05924355823723311, -0.046841486042715312, -0.050286436326121384, 0.045485694530874296, -0.053881061972581801, -0.020651523511811379, 0.014546113550842768, -0.013183687456560249, 0.033505868043804288]	0.102	1.997	F	41	5	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.325
[-0.12213955238407087, -0.095160035620909439, -0.074915289450450312, -0.12535941712941909, -0.045229974540635876, -0.11120863435966807, -0.04732545277264779, -0.10401134688603196, -0.022298793085818169, -0.026952015002811205, -0.021910673532112533, 0.0057065085004689075]	0.178	2.717	C	84	0	6	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]	0.353
[-0.043259810071779738, -0.1218051572554026, 0.010736031304178868, -0.059436393458596054, -0.073696918277265919, -0.05953210267264869, -0.060344893126628725, -0.12143499708453445, -0.0033708301882368003, -0.0019317773732481427, -0.0029003194623256458, 0.011387580534955566]	0.155	2.949	B	47	11	2	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.335
[0.0046174943062117979, -0.071380617398441232, -0.10064413767605669, -0.037491228583650484, 0.0080941831401443697, 0.013702363588549949, 0.0089199093773086428, -0.027669424119913525, -0.0179082074896291, -0.047879949949357015, -0.0024075297633049273, 0.0054272726827289423]	0.196	3.204	A	57	9	3	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.416
[-0.027187841714678831, -0.076039268582057645, -0.088467073521015599, -0.071128849073903877, -0.032590497674102561, -0.0045852904580120698, 0.0154907825760846, -0.0056687894341575801, -0.0015907798974874189, -0.025910940613894887, 0.00014044760469487461, -0.0091622831999859499]	0.183	3.646	C	48	0	3	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.668
[-0.040822236975084698, -0.077479124295241966, -0.14137473714908297, -0.086831898600778501, -0.023639565930278349, -0.0063130037172988334, 0.00076675997346544659, 0.0038301432581749843, -0.045474060264931448, 0.019850630450630541, 0.0017022166357290147, 0.035794019693875627]	0.194	3.692	F#	66	6	4	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.356
[-0.0093534112368021307, -0.025439237481172633, -0.090884718068091203, -0.047041653121601204, 0.00069240905002329687, -0.00080025291242073217, 0.031678221405716613, -0.0043167335412206392, -0.022711484969538016, -0.013156164743167531, -0.010185393306620116, 0.016609880237916118]	0.163	3.878	G#	56	8	3	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.611
[-0.011864807440142431, 0.012983392541202964, -0.1024340548593895, -0.0070468856092149746, -0.0055942050830692126, -0.011952682674808328, 0.10274136733724626, -0.10138866174607689, -0.083788184166215834, -0.06436251703736294, 0.0084539162851463741, 0.124242078215001]	0.285	4.110	A	57	9	3	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.639
[0.038024886797389412, 0.076972856918201993, -0.0041163937170459837, -0.0028304787226231492, 0.01489154310865092, -0.016926728640136508, 0.027966551134907976, -0.0247075136871256, 0.0066156852204403982, -0.024760313117558233, 0.0085815129379986956, -0.010071359134773323]	0.331	4.133	A	33	9	1	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.687
[-0.046814679315859455, 0.05993184842753467, -0.022741308511464657, -0.084000963813454496, -0.026680886415538316, -0.015341134152972164, 0.04554017314208058, -0.036360954064745502, 0.034516146250945685, 0.041940309991751065, 0.020274126098668271, 0.036987983588829869]	0.270	4.365	A	45	9	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.648
[-0.057074081466535802, -0.0058293980109224239, -0.0802507910496216, -0.076066249833260116, -0.0023664150995263956, -0.0066912839420095087, 0.040315768899783576, -0.032729933691806226, -0.047353290470445591, -0.0038925107796145544, 0.03631047359802974, 0.053096613690005096]	0.295	4.598	A	45	9	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.490
[0.0079796058318573164, 0.010613641777134005, 0.025465355750794224, -0.05132881990887183, -0.061270279385201631, -0.0025742990081579656, 0.05161384954165843, -0.010450652157559023, 0.0070030859108470393, -0.029626156383731679, 0.051269195007549173, 0.069630887799012817]	0.147	4.830	A	45	9	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.658
[0.13499246571730875, 0.032663021785150466, 0.039063324971221218, -0.002090251388623975, -0.010250204799616016, 0.010677463553616307, 0.042220413143356936, -0.078552342639246264, -0.013800507513702874, 0.050291932325457304, -0.001131678824312993, -0.013497897714707306]	0.174	5.062	C	36	0	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.517
[2.8013338450006015e-05, 0.044313233309488519, -0.047555476162884087, -0.032876894910543984, -0.051126079819688391, -0.034575860408476745, -0.028240179873822931, -0.032929406358981013, -0.011247688241230062, 0.023164999260799395, -0.016461589336535982, -0.0014682868831823145]	0.594	5.294	A	45	9	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.335
