time	chroma	timbre	dB
0.000	[0.297, 0.443, 0.761, 1.0, 0.828, 0.775, 0.596, 0.501, 0.465, 0.355, 0.199, 0.191]	[0.0, 171.13, 9.469, -28.48, 57.491, -50.067, 14.833, 5.359, -27.228, 0.973, -10.64, -7.228]	-60.000
1.283	[0.777, 0.631, 0.455, 0.407, 0.606, 0.631, 0.799, 0.898, 0.907, 0.91, 1.0, 0.291]	[13.486, 90.394, 47.313, 25.435, 1.789, -60.431, 4.592, -6.391, 3.352, 13.796, -14.658, -16.126]	-59.872
1.357	[0.484, 0.681, 1.0, 0.145, 0.089, 0.068, 0.08, 0.062, 0.089, 0.256, 0.062, 0.199]	[34.735, 48.838, 130.466, -308.004, 18.326, 100.029, 70.802, 4.221, 19.722, 51.27, -2.381, -0.534]	-48.511
1.881	[0.048, 0.116, 0.042, 0.06, 0.265, 0.096, 0.096, 0.123, 0.259, 1.0, 0.196, 0.079]	[51.292, 141.573, 54.02, 3.053, -12.396, -14.003, -2.89, -8.36, 32.643, 0.146, -2.382, -2.425]	-13.255
2.194	[0.061, 0.145, 0.055, 0.084, 0.321, 0.11, 0.099, 0.133, 0.169, 1.0, 0.27, 0.149]	[51.081, 127.622, 67.01, 15.757, -9.094, -29.592, 0.851, -6.507, 25.509, 7.737, -5.766, 0.115]	-11.196
2.560	[0.174, 0.07, 0.021, 0.086, 0.068, 0.054, 0.112, 0.031, 0.046, 0.124, 0.128, 1.0]	[51.581, 123.284, 52.879, 8.556, -14.199, -17.739, 7.324, 2.431, 25.008, 12.396, 2.943, 7.006]	-14.282
2.781	[1.0, 0.149, 0.06, 0.04, 0.098, 0.052, 0.076, 0.165, 0.042, 0.053, 0.107, 0.417]	[51.861, 133.928, 48.777, 7.472, -5.56, -19.171, 0.909, -10.828, 34.356, 18.223, -12.8, 7.099]	-11.406
3.013	[0.247, 0.084, 0.028, 0.113, 0.075, 0.073, 0.127, 0.061, 0.024, 0.063, 0.167, 1.0]	[51.768, 138.883, 41.777, 10.272, -9.411, -20.231, -7.515, 1.37, 34.976, 11.184, -13.831, 6.012]	-13.313
3.227	[0.076, 0.128, 0.241, 0.113, 0.168, 0.219, 0.423, 1.0, 0.362, 0.425, 0.268, 0.174]	[51.184, 123.717, 48.865, 20.156, -10.523, -30.748, -3.091, -30.259, 22.119, 12.797, -22.736, 10.709]	-12.661
3.674	[0.235, 0.027, 0.043, 0.066, 0.141, 1.0, 0.195, 0.307, 0.107, 0.045, 0.024, 0.039]	[47.091, 31.493, 14.566, 5.504, -10.724, -16.235, -5.51, -15.036, 22.956, 22.32, -2.395, -25.663]	-16.580
3.914	[0.269, 0.048, 0.029, 0.053, 0.178, 1.0, 0.285, 0.101, 0.039, 0.068, 0.039, 0.062]	[46.527, 38.692, 14.082, 21.917, -12.565, -38.452, -6.181, -7.66, 9.25, 19.595, -16.841, -4.619]	-18.063
4.151	[1.0, 0.147, 0.068, 0.094, 0.205, 0.327, 0.139, 0.187, 0.037, 0.026, 0.059, 0.176]	[51.758, 123.357, 40.481, 4.121, -12.116, -22.787, 8.221, -8.397, 32.651, 14.604, -9.049, 6.824]	-19.636
4.394	[0.286, 0.056, 0.031, 0.127, 0.081, 0.058, 0.089, 0.041, 0.022, 0.055, 0.071, 1.0]	[50.834, 99.685, 38.844, 2.547, -3.457, -23.389, 4.715, -2.433, 34.556, 2.142, -10.433, 13.151]	-12.752
4.655	[0.355, 0.14, 0.103, 0.152, 0.21, 0.223, 0.245, 0.229, 0.326, 0.33, 0.308, 1.0]	[52.193, 71.439, -28.79, 15.267, 21.564, -42.724, -23.228, 5.984, 3.508, -27.945, -9.469, 21.279]	-12.643
4.859	[0.627, 0.101, 0.074, 0.131, 0.05, 0.135, 0.27, 0.24, 0.362, 0.354, 0.648, 1.0]	[47.413, 42.128, -35.894, -15.17, 13.371, -22.84, -12.394, 9.761, 5.054, -18.068, -1.869, 27.536]	-14.836
5.022	[0.212, 0.108, 0.056, 0.154, 0.164, 0.2, 0.201, 0.337, 0.359, 0.757, 0.315, 1.0]	[47.917, 40.485, -48.076, -57.503, 18.76, -8.761, -21.708, 21.437, -0.597, -7.52, -18.611, 25.463]	-17.713
5.317	[0.402, 0.23, 0.306, 0.1, 0.281, 0.176, 0.212, 0.391, 0.291, 1.0, 0.577, 0.934]	[51.52, 37.34, -5.961, -40.132, 7.378, -25.609, -3.05, 17.577, -34.247, -9.958, 4.666, 8.623]	-16.365
5.485	[0.071, 0.088, 0.064, 0.072, 0.221, 0.068, 0.073, 0.088, 0.263, 1.0, 0.194, 0.085]	[54.507, 87.72, -3.833, -41.318, -16.533, -2.215, -9.826, 25.776, 2.456, -28.084, 2.369, 0.956]	-9.982
6.478	[0.565, 0.417, 0.216, 0.287, 0.356, 0.513, 0.217, 0.257, 0.437, 1.0, 0.142, 0.313]	[51.719, 74.165, -13.06, 17.3, 10.015, -41.367, 24.406, 5.285, 6.398, -15.548, -8.731, -18.056]	-8.225
6.734	[0.177, 0.109, 0.071, 0.103, 0.284, 0.067, 0.057, 0.058, 0.325, 1.0, 0.218, 0.12]	[49.558, 154.856, -24.193, -32.478, 37.075, -47.728, 1.003, -1.113, -3.283, 9.192, -11.502, 8.225]	-13.182
6.960	[0.062, 0.033, 0.027, 0.056, 0.134, 0.038, 0.026, 0.043, 0.11, 1.0, 0.053, 0.035]	[49.56, 84.712, -66.416, 45.036, 32.42, -47.658, -23.135, 4.378, -7.299, -7.122, -18.732, 10.081]	-12.468
7.423	[0.665, 0.359, 0.076, 0.037, 0.279, 1.0, 0.317, 0.03, 0.091, 0.415, 0.095, 0.151]	[47.629, 103.079, -113.221, 3.388, -14.465, -77.062, -30.616, -7.003, -15.046, 21.678, -18.445, 1.919]	-18.442
7.657	[0.441, 0.107, 0.043, 0.083, 0.327, 1.0, 0.301, 0.051, 0.025, 0.075, 0.031, 0.107]	[48.999, 84.254, -20.348, -22.724, -34.542, -4.387, -0.384, -28.242, -16.655, 39.13, -8.649, -18.001]	-17.565
7.854	[0.272, 0.119, 0.102, 0.159, 0.404, 1.0, 0.298, 0.108, 0.176, 0.967, 0.302, 0.163]	[50.576, 100.2, -43.513, -36.588, 22.138, 2.756, -15.996, 25.239, -4.264, -26.325, -11.721, -13.377]	-13.195
8.080	[0.395, 0.119, 0.049, 0.046, 0.189, 1.0, 0.21, 0.024, 0.023, 0.11, 0.036, 0.088]	[50.498, 45.171, -23.567, -16.737, -10.739, -22.424, 6.591, -43.501, -10.263, 9.948, -14.368, -13.875]	-14.716
8.336	[0.124, 0.107, 0.285, 0.087, 0.045, 0.078, 0.301, 1.0, 0.16, 0.039, 0.039, 0.102]	[51.911, 80.599, -41.972, -1.932, -17.672, -49.064, 5.173, -21.673, -15.713, 4.157, -1.068, -14.667]	-11.129
8.580	[0.026, 0.035, 0.151, 0.034, 0.029, 0.056, 0.254, 1.0, 0.363, 0.051, 0.045, 0.045]	[50.095, 140.941, -84.637, -40.912, -1.745, -33.248, 2.455, 3.896, -21.352, -0.863, -16.327, -2.194]	-11.879
