time	MFCC1	MFCC2	MFCC3	MFCC4	MFCC5	MFCC6
0.000	0.182	0.060	0.100	-0.002	0.084	-0.062
0.789	0.141	-0.018	0.029	0.044	0.019	-0.019
0.998	0.092	0.060	0.026	0.007	-0.003	0.001
1.881	0.188	0.129	0.080	0.040	0.033	0.028
1.997	0.074	0.023	0.035	0.053	0.001	0.006
2.276	0.211	-0.057	0.004	0.041	0.022	-0.016
2.647	0.290	0.127	0.003	-0.003	-0.040	-0.042
2.902	0.560	0.239	0.062	-0.012	-0.024	-0.108
2.995	0.164	0.286	-0.032	-0.013	-0.032	-0.036
3.251	0.132	0.196	-0.029	0.017	0.004	-0.049
3.994	-0.441	-0.086	-0.033	0.059	0.099	-0.043
4.017	0.022	0.032	0.036	-0.001	0.029	-0.015
4.992	0.092	0.077	0.054	0.036	0.017	0.018
5.898	0.657	0.026	0.135	-0.094	0.058	-0.068
5.991	0.154	0.021	-0.026	-0.018	-0.011	-0.023
6.293	0.159	0.084	0.036	0.007	0.009	-0.009
6.641	0.071	0.094	-0.086	-0.049	-0.011	-0.039
6.896	0.077	0.154	0.124	-0.043	0.003	-0.087
6.989	0.098	0.039	0.016	-0.029	-0.022	-0.024
7.268	-0.012	0.034	0.018	-0.029	-0.049	-0.022
7.755	-0.764	-0.033	0.042	-0.080	0.107	-0.157
8.011	-0.079	0.044	0.067	0.041	0.021	-0.049
8.243	0.061	0.066	0.061	0.023	-0.024	0.024
8.754	0.101	0.068	0.060	0.006	-0.037	0.058
8.986	0.140	0.385	0.148	-0.225	0.070	-0.104
9.009	-0.029	0.034	0.088	-0.047	0.044	-0.038
9.242	0.138	0.084	0.109	-0.043	0.025	-0.050
9.752	0.092	0.121	0.071	0.005	-0.040	0.033
10.008	-0.128	0.076	0.103	0.018	0.079	-0.049
10.263	0.106	0.152	-0.011	0.011	-0.022	0.025
10.635	0.132	0.177	0.072	-0.038	0.014	-0.025
10.751	0.100	0.083	0.019	-0.004	-0.056	-0.016
11.006	-0.054	0.084	0.078	0.039	0.042	-0.078
11.262	-0.014	0.162	0.030	-0.015	-0.010	-0.041
11.749	-1.000	-0.298	-0.082	0.146	0.067	0.003
12.005	0.116	0.070	0.083	0.009	0.029	-0.028
12.237	0.401	0.283	0.029	-0.031	-0.076	-0.024
12.260	-0.007	0.157	0.045	0.050	0.064	-0.007
12.748	0.177	0.091	0.098	-0.016	0.039	-0.003
13.003	-0.005	0.208	0.038	0.033	0.017	-0.015
13.259	-0.016	0.145	0.026	-0.006	-0.006	-0.018
13.746	-0.018	0.112	0.122	0.010	-0.031	-0.013
13.909	0.117	0.101	0.010	0.022	-0.007	-0.035
14.002	0.048	0.127	0.045	-0.024	-0.009	-0.069
14.257	0.065	0.184	-0.006	0.053	-0.035	-0.058
14.629	0.069	0.051	-0.039	-0.039	-0.051	-0.002
14.745	0.112	0.087	0.021	-0.034	0.043	-0.058
15.000	0.080	0.050	0.002	-0.044	-0.042	-0.027
15.256	0.034	0.033	0.009	-0.030	-0.008	-0.039
15.511	-0.330	0.014	-0.012	-0.008	-0.021	-0.035
15.766	-0.497	-0.037	0.003	-0.052	0.063	-0.059
16.022	-0.074	0.056	0.032	0.062	0.030	-0.028
16.254	0.043	0.068	0.062	0.053	0.078	0.035
16.509	0.046	0.083	0.034	0.023	-0.002	0.007
16.765	0.103	0.078	0.016	0.020	-0.002	-0.009
16.997	0.155	0.203	0.087	-0.155	0.127	-0.072
17.020	-0.077	0.055	0.062	-0.024	0.023	-0.041
17.252	0.228	0.186	0.051	0.014	0.046	-0.023
17.508	0.103	0.061	0.117	0.013	0.002	-0.026
17.763	0.035	-0.011	0.049	0.070	0.022	-0.003
18.019	-0.081	0.029	0.024	-0.014	0.051	-0.035
18.274	0.104	0.012	0.001	0.058	0.005	0.008
18.506	-0.029	0.053	-0.002	0.031	-0.014	-0.054
18.646	0.090	0.025	0.125	0.087	0.002	-0.049
18.762	0.029	0.005	0.110	0.053	-0.085	-0.101
19.017	-0.064	0.056	0.043	0.043	-0.001	-0.041
19.273	0.001	0.062	-0.041	0.060	0.016	-0.064
19.505	-0.214	-0.185	-0.181	0.136	0.058	-0.004
19.760	-0.571	-0.245	-0.266	0.010	-0.017	-0.086
20.016	0.146	0.155	-0.034	0.012	0.015	-0.027
20.248	0.451	0.468	0.064	0.128	-0.075	-0.106
20.271	0.087	0.183	0.024	0.016	0.047	-0.017
20.503	0.332	0.119	0.078	-0.004	-0.009	0.012
20.759	0.289	0.139	0.080	0.068	-0.047	0.035
21.014	0.044	0.244	-0.040	0.125	0.015	-0.085
21.269	0.052	0.198	-0.015	-0.014	-0.011	-0.057
21.502	0.343	0.208	0.080	-0.030	-0.070	-0.054
21.757	0.255	0.197	0.133	0.074	-0.004	-0.047
21.896	0.565	0.069	0.091	-0.000	0.026	-0.023
22.013	0.106	0.197	-0.019	-0.014	-0.039	-0.081
22.268	0.122	0.222	-0.067	0.039	0.018	-0.063
22.500	0.233	0.125	0.011	-0.038	-0.052	-0.027
22.639	0.192	-0.000	-0.096	-0.069	-0.072	0.018
22.756	0.169	0.084	0.010	0.004	-0.052	-0.023
23.011	0.169	0.158	-0.039	-0.054	-0.032	-0.074
23.266	0.113	0.044	0.005	0.006	-0.096	0.007
23.499	-0.211	0.333	0.293	-0.290	-0.176	-0.148
23.522	0.206	0.014	0.047	-0.015	-0.061	-0.025
23.754	-0.086	-0.271	0.032	-0.017	-0.008	0.065
24.009	0.218	0.081	0.034	0.007	-0.052	-0.060
24.265	0.019	0.025	-0.018	0.011	0.036	-0.000
24.520	0.107	0.108	0.064	-0.013	-0.067	-0.012
24.752	0.163	0.016	0.086	0.000	0.057	-0.004
25.008	0.384	0.126	-0.021	-0.114	-0.032	0.019
25.031	0.087	0.097	0.066	-0.026	0.053	-0.042
25.263	-0.023	0.134	0.096	-0.010	-0.072	0.023
25.519	0.101	0.099	-0.021	-0.008	-0.065	-0.033
25.751	0.049	0.061	0.031	0.045	0.003	-0.007
26.006	0.157	0.065	0.029	0.038	-0.079	0.014
26.262	0.090	0.016	0.039	0.030	-0.014	0.003
26.517	0.388	0.089	0.094	0.009	-0.145	-0.101
26.564	0.040	0.112	0.106	0.107	-0.049	0.004
26.773	-0.032	0.076	0.091	0.044	-0.051	-0.023
27.005	0.155	0.054	0.052	-0.006	-0.048	-0.043
27.260	0.221	0.057	0.031	0.022	-0.034	-0.037
27.516	0.059	0.077	0.043	-0.035	-0.006	-0.037
27.771	-0.264	-0.081	-0.004	-0.004	0.042	-0.039
28.003	0.216	0.043	0.051	-0.031	-0.037	-0.073
28.259	0.240	0.178	0.026	-0.013	-0.079	0.002
28.282	0.065	0.033	-0.006	0.033	0.007	0.026
28.514	0.104	0.126	0.008	-0.015	-0.033	-0.021
28.770	0.020	0.074	0.018	0.017	0.003	0.022
29.002	0.165	0.052	0.042	-0.025	0.003	-0.020
29.257	0.044	0.079	-0.014	-0.068	0.023	-0.003
29.513	0.188	0.187	-0.023	-0.008	-0.033	-0.030
29.768	0.008	0.085	0.024	0.018	0.002	-0.035
30.000	0.084	0.264	-0.033	-0.112	-0.034	0.019
30.023	0.044	0.135	0.041	-0.039	-0.015	-0.025
30.256	0.079	0.114	0.125	-0.030	0.001	-0.006
30.511	0.201	0.059	0.012	0.011	-0.055	-0.017
30.766	-0.018	0.027	0.001	-0.042	0.050	-0.022
