time	RMS
0.000	0.167
0.789	0.218
0.998	0.169
1.881	0.260
1.997	0.160
2.276	0.209
2.647	0.216
2.902	0.182
2.995	0.205
3.251	0.085
3.994	0.280
4.017	0.211
4.992	0.177
5.898	0.268
5.991	0.164
6.293	0.212
6.641	0.128
6.896	0.223
6.989	0.246
7.268	0.141
7.755	0.095
8.011	0.208
8.243	0.158
8.754	0.216
8.986	0.231
9.009	0.190
9.242	0.175
9.752	0.211
10.008	0.159
10.263	0.216
10.635	0.222
10.751	0.206
11.006	0.206
11.262	0.111
11.749	0.087
12.005	0.237
12.237	0.229
12.260	0.213
12.748	0.226
13.003	0.204
13.259	0.185
13.746	0.175
13.909	0.291
14.002	0.154
14.257	0.219
14.629	0.118
14.745	0.186
15.000	0.247
15.256	0.214
15.511	0.067
15.766	0.098
16.022	0.213
16.254	0.192
16.509	0.112
16.765	0.215
16.997	0.214
17.020	0.188
17.252	0.178
17.508	0.169
17.763	0.258
18.019	0.190
18.274	0.275
18.506	0.184
18.646	0.277
18.762	0.255
19.017	0.242
19.273	0.169
19.505	0.118
19.760	0.075
20.016	0.262
20.248	0.233
20.271	0.229
20.503	0.195
20.759	0.218
21.014	0.203
21.269	0.195
21.502	0.161
21.757	0.163
21.896	0.262
22.013	0.149
22.268	0.260
22.500	0.115
22.639	0.113
22.756	0.190
23.011	0.250
23.266	0.210
23.499	0.092
23.522	0.433
23.754	0.142
24.009	0.439
24.265	0.209
24.520	0.408
24.752	0.216
25.008	0.535
25.031	0.454
25.263	0.177
25.519	0.429
25.751	0.262
26.006	0.445
26.262	0.261
26.517	0.602
26.564	0.401
26.773	0.249
27.005	0.456
27.260	0.432
27.516	0.393
27.771	0.139
28.003	0.467
28.259	0.265
28.282	0.239
28.514	0.406
28.770	0.226
29.002	0.433
29.257	0.198
29.513	0.421
29.768	0.228
30.000	0.351
30.023	0.422
30.256	0.245
30.511	0.407
30.766	0.215
31.022	0.267
31.254	0.455
31.509	0.521
31.579	0.339
31.765	0.240
32.020	0.546
32.160	0.376
32.253	0.269
32.508	0.430
32.763	0.261
33.019	0.477
33.251	0.231
33.274	0.307
33.576	0.370
33.762	0.257
34.017	0.467
34.273	0.291
34.505	0.474
34.760	0.271
34.783	0.241
35.016	0.445
35.271	0.438
35.527	0.399
35.759	0.175
36.014	0.482
36.270	0.259
36.502	0.375
36.525	0.412
36.757	0.222
37.013	0.433
37.268	0.197
37.500	0.499
37.570	0.383
37.756	0.218
38.011	0.579
38.034	0.422
38.266	0.290
38.499	0.419
38.754	0.217
39.010	0.273
39.265	0.447
39.520	0.412
39.753	0.224
39.776	0.167
40.008	0.466
40.263	0.260
40.519	0.415
40.751	0.228
41.006	0.465
41.262	0.197
41.517	0.414
41.773	0.267
42.005	0.467
42.260	0.305
42.516	0.451
42.771	0.277
43.003	0.394
43.027	0.461
43.259	0.431
43.514	0.392
43.770	0.171
44.002	0.490
44.257	0.274
44.513	0.613
44.559	0.348
44.768	0.234
45.000	0.437
45.256	0.208
45.511	0.424
45.767	0.240
46.022	0.448
46.254	0.167
46.277	0.297
46.510	0.412
46.765	0.246
47.020	0.269
47.253	0.438
47.531	0.410
47.763	0.164
48.019	0.463
48.251	0.216
48.506	0.443
48.762	0.284
49.017	0.499
49.250	0.219
49.505	0.158
49.528	0.426
49.760	0.229
50.016	0.436
50.271	0.248
50.503	0.479
50.759	0.225
51.014	0.468
51.246	0.305
51.270	0.434
51.525	0.428
51.757	0.174
52.013	0.464
52.268	0.245
52.524	0.441
52.756	0.306
52.779	0.249
53.011	0.453
53.267	0.229
53.499	0.427
53.754	0.221
54.010	0.415
54.265	0.248
54.497	0.519
54.567	0.369
54.753	0.182
54.892	0.221
55.008	0.288
55.263	0.453
55.519	0.442
55.751	0.228
56.007	0.469
56.030	0.455
56.262	0.247
56.517	0.420
56.773	0.292
57.005	0.486
57.260	0.285
57.516	0.447
57.748	0.229
57.771	0.177
58.003	0.425
58.259	0.275
58.514	0.461
58.770	0.260
59.002	0.457
59.257	0.368
59.281	0.413
59.513	0.407
59.768	0.167
60.000	0.464
60.256	0.233
60.511	0.416
60.767	0.264
60.999	0.370
61.022	0.467
61.254	0.250
61.510	0.479
61.765	0.241
62.020	0.435
62.253	0.263
62.508	0.528
62.647	0.302
62.764	0.273
63.019	0.480
63.274	0.486
63.507	0.403
63.762	0.205
64.017	0.476
64.250	0.217
64.273	0.240
64.505	0.417
64.760	0.379
65.016	0.518
65.271	0.264
65.527	0.448
65.759	0.213
65.898	0.263
66.014	0.452
66.270	0.294
66.525	0.451
66.757	0.243
67.013	0.462
67.268	0.694
67.315	0.389
67.524	0.427
67.756	0.180
68.011	0.475
68.267	0.247
68.499	0.418
68.754	0.241
69.010	0.544
69.033	0.441
69.265	0.205
69.521	0.453
69.753	0.251
70.008	0.416
70.264	0.181
70.519	0.470
70.751	0.196
70.891	0.128
71.007	0.501
71.262	0.487
71.517	0.433
71.750	0.188
72.005	0.469
72.260	0.368
72.284	0.255
72.516	0.399
72.771	0.282
73.004	0.514
73.259	0.227
73.514	0.467
73.770	0.318
74.002	0.473
74.025	0.457
74.257	0.288
74.513	0.471
74.768	0.208
75.000	0.451
75.256	0.453
75.511	0.308
75.535	0.434
75.767	0.279
76.022	0.503
76.254	0.296
76.510	0.434
76.765	0.294
77.021	0.484
77.253	0.247
77.276	0.396
77.578	0.397
77.764	0.319
78.019	0.450
78.274	0.262
78.507	0.406
78.762	0.198
78.878	0.215
79.018	0.339
79.273	0.564
79.528	0.487
79.761	0.366
80.016	0.542
80.271	0.247
80.504	0.523
80.573	0.337
80.759	0.217
81.014	0.500
81.270	0.284
81.525	0.474
81.757	0.304
82.013	0.639
82.059	0.444
82.268	0.285
82.500	0.415
82.756	0.296
83.011	0.470
83.267	0.468
83.522	0.487
83.754	0.289
83.778	0.286
84.010	0.508
84.265	0.293
84.521	0.463
84.753	0.279
85.008	0.494
85.264	0.267
85.403	0.347
85.519	0.449
85.751	0.318
86.007	0.475
86.262	0.270
86.518	0.591
86.564	0.327
86.889	0.250
87.005	0.439
87.028	0.310
87.261	0.559
87.539	0.477
87.771	0.217
