time	ZC
0.000	0.094
0.789	0.029
0.998	0.060
1.881	0.121
1.997	0.343
2.276	0.107
2.647	0.145
2.902	0.176
2.995	0.219
3.251	0.725
3.994	0.635
4.017	0.047
4.992	0.072
5.898	0.032
5.991	0.543
6.293	0.031
6.641	0.247
6.896	0.179
6.989	0.181
7.268	0.449
7.755	0.760
8.011	0.143
8.243	0.139
8.754	0.301
8.986	0.068
9.009	0.207
9.242	0.187
9.752	0.340
10.008	0.382
10.263	0.176
10.635	0.436
10.751	0.259
11.006	0.226
11.262	0.668
11.749	0.776
12.005	0.133
12.237	0.205
12.260	0.121
12.748	0.229
13.003	0.192
13.259	0.209
13.746	0.503
13.909	0.081
14.002	0.440
14.257	0.202
14.629	0.382
14.745	0.434
15.000	0.205
15.256	0.299
15.511	0.581
15.766	0.698
16.022	0.125
16.254	0.154
16.509	0.207
16.765	0.256
16.997	0.253
17.020	0.194
17.252	0.222
17.508	0.143
17.763	0.353
18.019	0.475
18.274	0.187
18.506	0.383
18.646	0.318
18.762	0.361
19.017	0.345
19.273	0.477
19.505	0.544
19.760	1.000
20.016	0.226
20.248	0.213
20.271	0.132
20.503	0.101
20.759	0.187
21.014	0.169
21.269	0.158
21.502	0.124
21.757	0.438
21.896	0.200
22.013	0.655
22.268	0.148
22.500	0.259
22.639	0.364
22.756	0.352
23.011	0.190
23.266	0.249
23.499	0.490
23.522	0.086
23.754	0.385
24.009	0.076
24.265	0.179
24.520	0.079
24.752	0.248
25.008	0.233
25.031	0.090
25.263	0.257
25.519	0.073
25.751	0.330
26.006	0.223
26.262	0.245
26.517	0.078
26.564	0.202
26.773	0.357
27.005	0.171
27.260	0.187
27.516	0.171
27.771	0.420
28.003	0.136
28.259	0.594
28.282	0.162
28.514	0.092
28.770	0.250
29.002	0.108
29.257	0.259
29.513	0.108
29.768	0.331
30.000	0.209
30.023	0.114
30.256	0.218
30.511	0.129
30.766	0.348
31.022	0.203
31.254	0.157
31.509	0.195
31.579	0.123
31.765	0.380
32.020	0.102
32.160	0.217
32.253	0.276
32.508	0.210
32.763	0.374
33.019	0.139
33.251	0.361
