time	chordName	chordKey	chordMode	chordNotes
0.000	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
0.789	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
0.998	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
1.881	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
1.997	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
2.276	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
2.647	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
2.902	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
2.995	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
3.251	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
3.994	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
4.017	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
4.992	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
5.898	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
5.991	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
6.293	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
6.641	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
6.896	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
6.989	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
7.268	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
7.755	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
8.011	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
8.243	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
8.754	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
8.986	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
9.009	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
9.242	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
9.752	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
10.008	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
10.263	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
10.635	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
10.751	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
11.006	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
11.262	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
11.749	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
12.005	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
12.237	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
