MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.18177980746152916, 0.060021245813952032, 0.10024034756241902, -0.0020270057315295385, 0.084288840966769626, -0.062201647084307227, 0.038364172512816617, 0.033628268004756073, -0.041748661797355299, -0.013899732299830055, 0.026281354236364688, -0.0012550605346202557]	0.094	0.000	C	36	0	2	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]	0.167
[0.14139652388489021, -0.018210688152324229, 0.028567986581965202, 0.044395141180699114, 0.018973990012245569, -0.018899539206165522, -0.0098081762615797857, -0.016362112877543616, -0.013759345456768109, 0.0048552242368269088, -0.043169638983278358, -0.0045129380178888095]	0.029	0.789	G	43	7	2	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]	0.218
[0.091775230417460524, 0.060498232214443594, 0.026104871393809324, 0.0068461326267482041, -0.0029019265669567675, 0.0014104603184865586, 0.0059209917251016727, 0.0076081008455099724, 0.01161259117462405, 0.0074636705974721902, 0.0010407866452594996, 0.0057791252147914307]	0.060	0.998	G	43	7	2	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.169
[0.18762178685323466, 0.1292256181207655, 0.08003515555699324, 0.039723037758006986, 0.032976656888672566, 0.027915632733073549, 0.030280312962228596, 0.021561612236499893, -0.0138245743599396, -0.03182436811035378, -0.025012914014981076, -0.013009708869354883]	0.121	1.881	A	57	9	3	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.260
[0.073679731166647514, 0.022996756484879543, 0.035128404944947338, 0.053208629275734526, 0.0010259261506386341, 0.0056222454149050336, 0.010234153804463289, -0.029188106765602202, -0.030933189199634926, -0.039822968157081431, -0.034164518255712373, -0.00045104268387959658]	0.343	1.997	B	35	11	1	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.160
[0.211387811371091, -0.056927331965236895, 0.0038365931867078975, 0.041323865321452789, 0.022344751396428678, -0.015961527921872127, -0.0058570212955232435, 0.003613360164969963, -0.0081029781352798484, 0.0066936383117267738, 0.00071689685659001546, 0.0060134997084597911]	0.107	2.276	D#	39	3	2	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.209
[0.28987961869723233, 0.12684959768613369, 0.0031371416927336612, -0.0025737186037025957, -0.039946947820374237, -0.042162290952486123, -0.02158865962569239, 0.014769746941546147, -0.038195542418488528, -0.025546765278752798, 0.010918625045843964, 0.011882497559783396]	0.145	2.647	D	38	2	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.216
[0.56005176976870497, 0.23855508730805597, 0.061854557042294721, -0.011900831057536318, -0.024176896313485265, -0.10841725857370753, 0.019216538981535507, -0.042297510750584931, -0.065338304262910804, 0.050003098717756135, -0.014367424832537095, -0.077100685071760044]	0.176	2.902	F	41	5	2	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.182
[0.16399925623638972, 0.28622639779046355, -0.032360663116451305, -0.013005415072813085, -0.031689680274562294, -0.035643148826552659, -0.037246905750176106, -0.020030591332482278, 0.041377292207381004, 0.0024772896865477971, 0.0067719827371944281, -0.10783568365970674]	0.219	2.995	D	38	2	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.205
[0.13173060526044608, 0.19643853365393832, -0.029309592831464996, 0.016705611810730471, 0.003515977483822211, -0.048895280307843327, -0.015178500224813807, -0.010760845690828771, -0.0019120645423146665, -0.016739306701524442, -0.010801613445408221, -0.014135426633209974]	0.725	3.251	D#	39	3	2	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]	0.085
[-0.44085060620837135, -0.086036340341395678, -0.033130894011560143, 0.059440482205310015, 0.099454667544365577, -0.042948680712507341, 0.0037444935264373787, -0.023956434251510013, 0.025799557699462579, 0.00066112271468278831, -0.008944242504879284, -0.064141567903379937]	0.635	3.994	B	95	11	6	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.280
[0.022481436626384601, 0.031787418166041317, 0.036021688664600281, -0.0013661064645297701, 0.029280463210346306, -0.015472277568897404, -0.009321823650213449, -0.0024920921788703304, -0.0069301369974546622, -0.0057569768759146147, 0.024503245961688597, 0.016413405273848745]	0.047	4.017	A#	34	10	1	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.211
[0.092246603205924801, 0.077423813606663616, 0.053787951766497907, 0.035843010739245458, 0.016847206248119341, 0.017960855848533144, 0.013327379193726365, 0.027344005345168183, 0.022231392745266615, 0.023931276286063077, 0.01443976374058036, -0.0066569185896752951]	0.072	4.992	F	41	5	2	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.177
[0.65669917083494389, 0.026122648864748778, 0.13544310067880666, -0.093576411482354349, 0.058066944936448338, -0.067850055118198652, 0.019589750681566424, 0.1137018605307752, -0.094675874808995641, -0.095251621104742001, 0.13394598648791772, -0.055370050498202268]	0.032	5.898	D	38	2	2	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.268
[0.15352327702554958, 0.020733274833007027, -0.025615056041686849, -0.017586490680643906, -0.010682723057859764, -0.023385365731771499, -0.0014326384545395804, 0.0014699064204346821, -0.0061578393344208964, -0.026817730456755194, -0.027938359652731459, -0.033652152421609086]	0.543	5.991	D	38	2	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.164
[0.15856592138636172, 0.084377423520334741, 0.035524611627573824, 0.0073822165410319445, 0.0090421319894905886, -0.0093987554100396636, 0.0066640298420967796, -0.001177251827837603, -0.0049288217762411485, 0.013175097119858646, -0.0059446028830777075, -0.012003262768791295]	0.031	6.293	D#	39	3	2	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.212
