time	noteName	noteMIDI	noteKey	noteOctave
0.000	C	36	0	2
0.789	G	43	7	2
0.998	G	43	7	2
1.881	A	57	9	3
1.997	B	35	11	1
2.276	D#	39	3	2
2.647	D	38	2	2
2.902	F	41	5	2
2.995	D	38	2	2
3.251	D#	39	3	2
3.994	B	95	11	6
4.017	A#	34	10	1
4.992	F	41	5	2
5.898	D	38	2	2
5.991	D	38	2	2
6.293	D#	39	3	2
6.641	G#	44	8	2
6.896	C	36	0	2
6.989	F	41	5	2
7.268	F	41	5	2
7.755	A	93	9	6
8.011	C	36	0	2
8.243	C	36	0	2
8.754	C	36	0	2
8.986	F	41	5	2
9.009	G#	44	8	2
9.242	D	38	2	2
9.752	C	36	0	2
10.008	D#	39	3	2
10.263	D#	39	3	2
10.635	B	47	11	2
10.751	D	38	2	2
11.006	C#	37	1	2
11.262	D#	39	3	2
11.749	D	86	2	6
12.005	C	36	0	2
12.237	F	41	5	2
12.260	A#	34	10	1
12.748	A#	34	10	1
13.003	A	33	9	1
13.259	F	29	5	1
13.746	F	29	5	1
13.909	A#	46	10	2
14.002	C#	37	1	2
14.257	A#	46	10	2
14.629	B	35	11	1
14.745	B	47	11	2
15.000	F#	42	6	2
15.256	F#	42	6	2
15.511	A#	94	10	6
15.766	A#	94	10	6
16.022	F#	42	6	2
16.254	B	35	11	1
16.509	C	36	0	2
16.765	C	36	0	2
16.997	F	29	5	1
17.020	G	43	7	2
17.252	F#	30	6	1
17.508	D	38	2	2
17.763	C#	37	1	2
18.019	C#	37	1	2
18.274	D#	39	3	2
18.506	D	38	2	2
18.646	C#	37	1	2
18.762	A	81	9	5
19.017	D#	39	3	2
19.273	D	38	2	2
19.505	D	74	2	5
19.760	B	107	11	7
20.016	C#	37	1	2
20.248	F	29	5	1
20.271	A	45	9	2
20.503	A	33	9	1
20.759	A	33	9	1
21.014	C#	37	1	2
21.269	F#	30	6	1
21.502	D#	27	3	1
21.757	G	31	7	1
21.896	C#	37	1	2
22.013	F	101	5	7
22.268	C	36	0	2
22.500	B	47	11	2
22.639	D#	51	3	3
22.756	A#	46	10	2
23.011	F#	42	6	2
23.266	F	29	5	1
23.499	B	107	11	7
23.522	D#	39	3	2
23.754	A	81	9	5
24.009	B	35	11	1
24.265	C	36	0	2
24.520	A	33	9	1
24.752	G	43	7	2
25.008	F	29	5	1
25.031	C	36	0	2
25.263	F#	42	6	2
25.519	B	35	11	1
25.751	C#	37	1	2
26.006	A#	34	10	1
26.262	D#	39	3	2
26.517	C	36	0	2
26.564	D	38	2	2
26.773	D	74	2	5
27.005	C#	37	1	2
27.260	D#	39	3	2
27.516	C#	37	1	2
27.771	D	74	2	5
28.003	F	41	5	2
28.259	F	41	5	2
28.282	C	36	0	2
28.514	C	36	0	2
28.770	B	35	11	1
29.002	C	36	0	2
29.257	F	29	5	1
29.513	C	36	0	2
29.768	B	47	11	2
30.000	F	29	5	1
30.023	D#	39	3	2
30.256	D#	39	3	2
30.511	B	35	11	1
30.766	F#	42	6	2
31.022	F#	42	6	2
31.254	F	41	5	2
31.509	G	43	7	2
31.579	G	31	7	1
31.765	E	64	4	4
32.020	A#	34	10	1
32.160	A	33	9	1
32.253	F#	66	6	4
32.508	A#	34	10	1
32.763	B	35	11	1
33.019	C#	37	1	2
33.251	F	29	5	1
33.274	G	31	7	1
33.576	D	38	2	2
33.762	D	38	2	2
34.017	C	36	0	2
34.273	D#	39	3	2
34.505	C#	37	1	2
34.760	C	72	0	5
34.783	D#	39	3	2
35.016	C	36	0	2
35.271	D	38	2	2
35.527	F	29	5	1
35.759	E	64	4	4
36.014	B	35	11	1
36.270	C	36	0	2
36.502	A	57	9	3
36.525	F#	30	6	1
36.757	A	33	9	1
37.013	B	35	11	1
37.268	F#	42	6	2
37.500	G	43	7	2
37.570	A#	34	10	1
37.756	C#	37	1	2
38.011	F	53	5	3
38.034	D	38	2	2
38.266	D#	39	3	2
38.499	D#	39	3	2
38.754	B	47	11	2
39.010	F#	42	6	2
39.265	F	41	5	2
39.520	B	35	11	1
39.753	D	86	2	6
39.776	E	64	4	4
40.008	F	65	5	4
40.263	C	36	0	2
40.519	A	33	9	1
40.751	G	43	7	2
41.006	A#	34	10	1
41.262	F#	42	6	2
41.517	A#	34	10	1
41.773	D	38	2	2
42.005	C#	37	1	2
42.260	D#	39	3	2
42.516	C	36	0	2
42.771	D#	39	3	2
43.003	F	53	5	3
43.027	F	41	5	2
43.259	D	38	2	2
43.514	F	41	5	2
43.770	E	64	4	4
44.002	F	65	5	4
44.257	A	33	9	1
44.513	F	41	5	2
44.559	B	35	11	1
44.768	A#	70	10	4
45.000	E	40	4	2
45.256	F	29	5	1
45.511	C	36	0	2
45.767	D	38	2	2
46.022	D	38	2	2
46.254	D	86	2	6
46.277	D#	39	3	2
46.510	D	38	2	2
46.765	A#	46	10	2
47.020	F#	42	6	2
47.253	F	41	5	2
47.531	D	38	2	2
47.763	A	81	9	5
48.019	A	33	9	1
48.251	C	36	0	2
48.506	A#	34	10	1
48.762	B	35	11	1
49.017	C#	37	1	2
49.250	F#	30	6	1
49.505	F	29	5	1
49.528	A	33	9	1
49.760	D	38	2	2
50.016	C	36	0	2
50.271	D#	39	3	2
50.503	C#	37	1	2
50.759	D#	39	3	2
51.014	C	36	0	2
51.246	G	67	7	4
51.270	C#	37	1	2
51.525	F	29	5	1
51.757	F	77	5	5
52.013	B	35	11	1
52.268	C	36	0	2
52.524	A	33	9	1
52.756	C#	73	1	5
52.779	A	33	9	1
53.011	B	35	11	1
53.267	F#	42	6	2
53.499	A#	34	10	1
53.754	C#	37	1	2
54.010	D#	39	3	2
54.265	D#	39	3	2
54.497	G	43	7	2
54.567	G	31	7	1
54.753	D	38	2	2
54.892	B	35	11	1
55.008	F#	42	6	2
55.263	F	41	5	2
55.519	B	35	11	1
55.751	C	48	0	3
56.007	C	48	0	3
56.030	C	36	0	2
56.262	C	36	0	2
56.517	A	33	9	1
56.773	G	43	7	2
57.005	C#	37	1	2
57.260	E	76	4	5
57.516	F#	30	6	1
57.748	F	41	5	2
57.771	G	55	7	3
58.003	F	41	5	2
58.259	D#	63	3	4
58.514	F	29	5	1
58.770	D#	39	3	2
59.002	C	36	0	2
59.257	F	41	5	2
59.281	C	36	0	2
59.513	C	36	0	2
59.768	D#	63	3	4
60.000	E	40	4	2
60.256	C	36	0	2
60.511	B	35	11	1
60.767	A#	70	10	4
60.999	C	48	0	3
61.022	A	33	9	1
61.254	F	29	5	1
61.510	D#	39	3	2
61.765	D	38	2	2
62.020	D	38	2	2
62.253	D#	39	3	2
62.508	D	38	2	2
62.647	A	45	9	2
62.764	D	38	2	2
63.019	C#	37	1	2
63.274	D#	39	3	2
63.507	B	35	11	1
63.762	F#	54	6	3
64.017	A	33	9	1
64.250	F	41	5	2
64.273	C	36	0	2
64.505	A#	34	10	1
64.760	B	35	11	1
65.016	C	36	0	2
65.271	F#	30	6	1
65.527	F	29	5	1
65.759	D	38	2	2
65.898	D#	39	3	2
66.014	F	29	5	1
66.270	D	38	2	2
66.525	B	35	11	1
66.757	D#	39	3	2
67.013	F	29	5	1
67.268	C	36	0	2
67.315	G	79	7	5
67.524	C	36	0	2
67.756	D	74	2	5
68.011	D#	39	3	2
68.267	C	36	0	2
68.499	D#	39	3	2
68.754	G#	32	8	1
69.010	F	53	5	3
69.033	D	38	2	2
69.265	F#	42	6	2
69.521	D#	39	3	2
69.753	C	36	0	2
70.008	A#	34	10	1
70.264	B	35	11	1
70.519	C#	37	1	2
70.751	D#	39	3	2
70.891	D#	39	3	2
71.007	A#	34	10	1
71.262	D#	39	3	2
71.517	D	38	2	2
71.750	A#	58	10	3
72.005	A#	34	10	1
72.260	G	79	7	5
72.284	F#	42	6	2
72.516	F	29	5	1
72.771	A	33	9	1
73.004	C#	37	1	2
73.259	G#	32	8	1
73.514	F	41	5	2
73.770	F	89	5	6
74.002	A	57	9	3
74.025	B	35	11	1
74.257	D	38	2	2
74.513	B	35	11	1
74.768	D#	39	3	2
75.000	C	36	0	2
75.256	A#	34	10	1
75.511	D	74	2	5
75.535	D#	39	3	2
75.767	A	81	9	5
76.022	D	38	2	2
76.254	C	36	0	2
76.510	B	35	11	1
76.765	A#	34	10	1
77.021	A	33	9	1
77.253	F	41	5	2
77.276	F	77	5	5
77.578	G	31	7	1
77.764	D	38	2	2
78.019	C#	37	1	2
78.274	A#	46	10	2
78.507	A#	34	10	1
78.762	D	50	2	3
78.878	B	47	11	2
79.018	F	89	5	6
79.273	A#	34	10	1
79.528	C#	37	1	2
79.761	F	77	5	5
80.016	C	36	0	2
80.271	D	74	2	5
80.504	F	41	5	2
80.573	A#	34	10	1
80.759	A#	34	10	1
81.014	C	36	0	2
81.270	C#	73	1	5
81.525	F	29	5	1
81.757	C	84	0	6
82.013	F	41	5	2
82.059	B	35	11	1
82.268	D	38	2	2
82.500	C	36	0	2
82.756	D#	39	3	2
83.011	B	35	11	1
83.267	C	36	0	2
83.522	D#	39	3	2
83.754	C	60	0	4
83.778	A	81	9	5
84.010	D#	39	3	2
84.265	B	35	11	1
84.521	D	38	2	2
84.753	A#	34	10	1
85.008	A#	34	10	1
85.264	F	41	5	2
85.403	F	41	5	2
85.519	D	38	2	2
85.751	D	38	2	2
86.007	A#	34	10	1
86.262	A#	46	10	2
86.518	C	36	0	2
86.564	D	38	2	2
86.889	F	65	5	4
87.005	C	48	0	3
87.028	C	48	0	3
87.261	F	29	5	1
87.539	C	36	0	2
87.771	G#	56	8	3
88.004	F#	30	6	1
88.259	B	35	11	1
88.514	F	29	5	1
88.747	A#	70	10	4
88.770	C	48	0	3
89.002	C	36	0	2
89.258	G#	32	8	1
89.513	F	41	5	2
89.768	B	35	11	1
90.001	C	36	0	2
90.256	F	29	5	1
90.279	B	35	11	1
90.511	D#	39	3	2
90.767	A	81	9	5
91.022	F	77	5	5
91.254	C#	37	1	2
91.510	D#	39	3	2
91.765	C#	73	1	5
91.997	A	57	9	3
92.021	D	38	2	2
92.253	C	36	0	2
92.508	D	38	2	2
92.764	C	60	0	4
93.019	A	33	9	1
93.251	F	41	5	2
93.507	A#	46	10	2
93.576	G	67	7	4
93.762	D#	39	3	2
94.018	C#	37	1	2
94.273	D	38	2	2
94.505	A#	34	10	1
94.761	B	47	11	2
95.016	F	41	5	2
95.132	F	77	5	5
95.271	D	38	2	2
95.527	F	29	5	1
95.759	G#	80	8	5
96.015	C	36	0	2
96.270	B	35	11	1
96.525	B	35	11	1
96.758	C#	73	1	5
96.781	C	36	0	2
97.013	B	35	11	1
97.268	F#	30	6	1
97.524	F	29	5	1
97.756	C	36	0	2
97.895	G#	32	8	1
98.011	B	35	11	1
98.267	D	38	2	2
98.499	C	36	0	2
98.638	D#	39	3	2
98.754	A#	46	10	2
99.010	D	38	2	2
99.265	F#	78	6	5
99.521	B	35	11	1
99.753	A	93	9	6
100.008	E	76	4	5
100.032	C#	37	1	2
100.264	B	35	11	1
100.519	C#	73	1	5
100.751	A#	34	10	1
101.007	A#	34	10	1
101.262	F	41	5	2
101.518	D	38	2	2
101.750	F	29	5	1
101.773	D#	39	3	2
102.005	C#	37	1	2
102.261	F	77	5	5
102.377	G	79	7	5
102.516	F	41	5	2
102.609	F	29	5	1
102.772	F#	78	6	5
103.004	G	79	7	5
103.259	A	69	9	4
103.282	C#	37	1	2
103.515	C#	37	1	2
103.770	C	72	0	5
104.002	C	36	0	2
104.258	B	35	11	1
104.513	F	29	5	1
104.768	C	36	0	2
105.001	C	60	0	4
105.024	B	35	11	1
105.256	G	43	7	2
105.535	B	35	11	1
105.767	B	35	11	1
105.999	A	33	9	1
106.255	D	38	2	2
106.510	D#	39	3	2
106.649	F	29	5	1
106.765	D	38	2	2
107.021	D	38	2	2
107.276	F	41	5	2
107.532	D	38	2	2
107.764	A#	70	10	4
108.019	C#	37	1	2
108.251	F	29	5	1
108.275	B	35	11	1
108.507	F#	30	6	1
108.762	A#	46	10	2
109.018	F#	42	6	2
109.273	F	41	5	2
109.505	D	38	2	2
109.761	A#	70	10	4
109.900	D#	39	3	2
110.016	C	36	0	2
110.272	D	38	2	2
110.504	C#	37	1	2
110.759	D#	75	3	5
111.015	F	41	5	2
111.270	A	33	9	1
111.502	F	29	5	1
111.525	F	29	5	1
111.758	A	81	9	5
112.013	F	29	5	1
112.268	F#	66	6	4
112.501	E	40	4	2
112.756	C	36	0	2
113.012	A	45	9	2
113.058	B	35	11	1
113.267	G	43	7	2
113.522	F	29	5	1
113.755	C	36	0	2
114.010	D#	39	3	2
114.265	C#	37	1	2
114.521	A	45	9	2
114.567	G	31	7	1
114.753	C#	73	1	5
114.776	D	38	2	2
115.008	D	38	2	2
115.264	E	40	4	2
115.519	B	35	11	1
115.751	F	77	5	5
116.007	A#	34	10	1
116.262	F	65	5	4
116.402	G#	32	8	1
116.518	C#	37	1	2
116.750	A#	34	10	1
117.005	A#	34	10	1
117.261	F	29	5	1
117.516	C#	37	1	2
117.772	D#	39	3	2
118.004	F	53	5	3
118.027	B	35	11	1
118.259	D	38	2	2
118.515	C	36	0	2
118.770	B	47	11	2
119.002	F	41	5	2
119.258	F#	42	6	2
119.513	F	41	5	2
119.583	A	33	9	1
119.769	G	79	7	5
120.001	C	36	0	2
120.256	B	35	11	1
120.512	D#	39	3	2
120.767	C	36	0	2
120.999	C	36	0	2
121.255	F	29	5	1
121.278	G	43	7	2
121.580	G	31	7	1
121.765	C#	37	1	2
122.021	D	38	2	2
122.276	D#	39	3	2
122.508	G	43	7	2
122.764	D	38	2	2
122.903	F	65	5	4
123.019	C#	37	1	2
123.275	D#	39	3	2
123.530	A	33	9	1
123.762	C	60	0	4
124.018	C#	37	1	2
124.250	B	35	11	1
124.505	C	48	0	3
124.529	C	36	0	2
124.761	A#	46	10	2
125.016	C	36	0	2
125.272	G	79	7	5
125.550	A#	34	10	1
125.759	A	81	9	5
126.015	F	41	5	2
126.061	F	29	5	1
126.270	C#	37	1	2
126.502	C	36	0	2
126.758	A#	46	10	2
127.013	C	48	0	3
127.269	F#	42	6	2
127.524	G#	80	8	5
127.756	G	79	7	5
127.988	G#	80	8	5
128.012	D#	39	3	2
128.267	G	79	7	5
128.499	C	36	0	2
128.755	C	36	0	2
129.010	B	35	11	1
129.265	G#	80	8	5
129.498	D	62	2	4
129.521	B	35	11	1
129.753	A#	70	10	4
129.892	C#	37	1	2
130.009	A#	34	10	1
130.264	D#	39	3	2
130.519	A	33	9	1
130.752	D	38	2	2
131.007	F	41	5	2
131.030	C	36	0	2
131.262	F#	78	6	5
131.518	G#	80	8	5
131.750	A	93	9	6
132.005	C#	37	1	2
132.261	C#	73	1	5
132.516	D	74	2	5
132.748	F	29	5	1
132.772	B	35	11	1
133.004	F#	30	6	1
133.259	F	29	5	1
133.515	F	41	5	2
133.584	A#	34	10	1
133.770	A#	46	10	2
134.002	C	36	0	2
134.258	F	77	5	5
134.374	G	79	7	5
134.513	G	79	7	5
134.769	F	77	5	5
135.001	G	79	7	5
135.256	F#	42	6	2
135.512	C	36	0	2
135.767	C	48	0	3
135.999	C	48	0	3
136.022	A#	34	10	1
136.231	F	41	5	2
136.255	B	35	11	1
136.510	D#	39	3	2
136.766	E	52	4	3
