time	chroma	timbre	dB
0.000	[0.998, 1.0, 0.986, 0.859, 0.706, 0.632, 0.532, 0.417, 0.319, 0.221, 0.191, 0.158]	[0.0, 171.13, 9.469, -28.48, 57.491, -50.067, 14.833, 5.359, -27.228, 0.973, -10.64, -7.228]	-60.000
0.522	[1.0, 0.024, 0.007, 0.009, 0.026, 0.005, 0.022, 0.18, 0.01, 0.007, 0.008, 0.333]	[33.438, 28.704, -136.446, 232.127, -2.123, -43.53, -24.005, -40.72, -25.822, 14.069, -48.209, 2.399]	-60.000
1.247	[1.0, 0.192, 0.072, 0.111, 0.184, 0.073, 0.231, 0.384, 0.072, 0.04, 0.03, 0.648]	[24.168, -130.197, -53.099, -73.955, -20.785, 41.249, 26.12, 3.799, -35.281, 10.188, -52.865, -12.116]	-46.068
1.519	[1.0, 0.621, 0.033, 0.057, 0.049, 0.019, 0.036, 0.041, 0.061, 0.063, 0.514, 0.028]	[39.249, 82.628, -59.798, 156.791, -38.379, -90.093, -35.078, -5.748, -18.097, -4.499, -66.436, 4.648]	-37.716
1.656	[0.04, 0.035, 0.023, 0.006, 0.007, 0.005, 0.408, 1.0, 0.087, 0.01, 0.005, 0.045]	[27.278, 4.323, -180.162, 40.731, 36.251, -69.88, 10.535, -69.667, -53.51, 11.419, -55.803, -7.512]	-35.503
1.919	[1.0, 0.873, 0.302, 0.263, 0.338, 0.345, 0.248, 0.248, 0.596, 0.584, 0.953, 0.096]	[21.721, -105.438, -77.347, -53.316, -40.712, 7.015, 15.237, 28.85, -33.558, -24.967, -0.015, -22.621]	-42.151
2.037	[0.062, 0.155, 0.351, 1.0, 0.308, 0.011, 0.011, 0.03, 0.005, 0.066, 0.273, 0.035]	[22.594, -158.631, -110.052, 3.312, -12.683, -88.583, -0.77, 24.452, -11.565, -8.977, -8.143, -15.14]	-41.871
2.282	[0.738, 0.715, 0.466, 0.463, 0.714, 0.711, 0.945, 0.952, 1.0, 0.996, 0.821, 0.073]	[20.343, -64.805, -68.829, -50.344, -39.081, -92.472, 1.993, 59.667, -22.184, -16.221, 49.52, -27.064]	-41.361
2.396	[0.826, 1.0, 0.171, 0.106, 0.255, 0.252, 0.416, 0.412, 0.52, 0.53, 0.601, 0.029]	[38.045, 15.747, -47.455, 112.429, -25.163, -76.438, -14.157, -14.326, -5.956, 37.604, -37.124, 0.48]	-47.835
2.512	[0.333, 1.0, 0.675, 0.483, 0.147, 0.211, 0.144, 0.116, 0.085, 0.073, 0.079, 0.791]	[37.463, 141.724, -70.257, 195.521, -22.726, -94.33, -36.451, 70.631, -31.557, -6.845, -31.487, -7.627]	-33.045
2.763	[0.049, 0.079, 0.445, 1.0, 0.291, 0.022, 0.032, 0.019, 0.008, 0.016, 0.045, 0.087]	[26.509, -129.214, -97.395, 63.728, 10.697, 33.204, 1.698, 26.643, -27.233, 60.182, 6.985, -15.995]	-43.035
3.028	[0.899, 0.903, 0.203, 0.189, 0.455, 0.471, 0.82, 0.814, 1.0, 0.999, 0.938, 0.013]	[19.147, -72.591, -88.594, -42.485, -48.782, -67.464, -21.144, 51.929, -2.549, -23.645, 1.325, -25.92]	-40.479
3.136	[0.801, 1.0, 0.122, 0.167, 0.2, 0.17, 0.268, 0.264, 0.341, 0.339, 0.515, 0.062]	[30.048, 65.884, -130.563, -18.92, 36.69, 60.854, 18.6, -52.875, -6.905, 35.201, -0.372, 0.469]	-44.078
3.251	[0.149, 1.0, 0.341, 0.449, 0.228, 0.204, 0.036, 0.053, 0.012, 0.013, 0.027, 0.062]	[28.168, -5.648, -121.669, -113.137, -8.437, -52.065, -19.994, 19.152, 15.132, -7.818, 7.517, -12.944]	-34.033
3.407	[0.473, 1.0, 0.247, 0.25, 0.183, 0.167, 0.037, 0.043, 0.056, 0.051, 0.059, 0.055]	[33.186, 106.67, -109.785, -62.754, -18.045, -37.531, -4.453, -40.117, -7.417, -5.208, 22.503, -12.805]	-30.757
3.518	[0.113, 0.195, 0.469, 1.0, 0.312, 0.021, 0.03, 0.05, 0.019, 0.092, 0.297, 0.093]	[42.098, 140.539, -30.217, 73.596, -45.046, -93.897, -47.043, 35.302, -12.867, 7.501, -10.113, 1.259]	-30.290
3.762	[0.675, 0.494, 1.0, 0.681, 0.325, 0.676, 0.596, 0.7, 0.455, 0.58, 0.629, 0.895]	[33.808, 237.674, -40.514, 13.96, -16.012, -54.333, -55.545, 34.481, 2.132, -15.146, 4.469, -0.884]	-23.943
4.470	[1.0, 0.111, 0.042, 0.041, 0.034, 0.047, 0.062, 0.097, 0.113, 0.101, 0.11, 0.729]	[33.008, 201.11, 27.89, -6.783, 20.643, 90.949, -35.372, -28.715, -32.227, 50.52, -83.251, 25.356]	-35.119
4.883	[0.204, 0.104, 0.036, 0.049, 0.05, 0.236, 0.054, 0.034, 0.04, 0.292, 1.0, 0.523]	[33.347, 45.682, -95.748, 2.14, -23.771, -2.69, -26.081, 41.763, 11.558, 34.164, -7.571, -1.077]	-29.787
5.227	[0.17, 0.253, 0.064, 0.167, 0.147, 0.477, 0.132, 0.135, 0.293, 0.657, 0.988, 1.0]	[30.093, 54.787, -112.379, -54.845, -31.937, -27.307, -31.953, -18.761, 15.151, 43.816, -25.448, 8.712]	-32.171
5.505	[0.472, 0.082, 0.055, 0.054, 0.057, 0.068, 0.243, 0.234, 0.819, 0.824, 1.0, 0.034]	[40.442, 101.5, -52.645, 126.543, -19.845, 43.209, -5.604, 9.259, -9.552, 17.698, 0.625, -8.992]	-32.111
5.636	[0.082, 0.013, 0.017, 0.066, 0.292, 1.0, 0.226, 0.015, 0.011, 0.011, 0.011, 0.026]	[30.267, 76.136, -131.461, -26.637, -8.273, -26.199, -5.783, -37.953, -11.735, -4.09, 2.297, -11.04]	-32.928
6.023	[0.261, 0.161, 0.048, 0.029, 0.244, 1.0, 0.305, 0.013, 0.017, 0.018, 0.009, 0.138]	[28.168, 5.306, -107.593, -21.579, -37.534, -49.257, -35.446, 21.118, 10.419, 22.06, 0.213, -6.589]	-34.921
6.237	[0.37, 0.699, 0.412, 0.395, 1.0, 1.0, 0.993, 0.992, 0.445, 0.448, 0.271, 0.024]	[25.27, 4.975, -108.9, -65.143, -39.279, -29.153, -35.268, 12.27, 16.912, 16.36, -24.586, -5.701]	-35.669
6.409	[0.665, 1.0, 0.14, 0.17, 0.165, 0.139, 0.188, 0.185, 0.228, 0.227, 0.351, 0.049]	[31.134, -70.154, -77.917, -33.055, -15.824, -71.454, -4.929, 30.15, 11.795, 9.401, 9.66, 10.987]	-39.900
6.514	[0.565, 1.0, 0.724, 0.841, 0.375, 0.161, 0.224, 0.216, 0.227, 0.217, 0.137, 0.166]	[37.18, 159.031, -64.178, 206.176, -28.665, -98.941, -41.324, 90.226, -19.705, -9.614, -23.083, -13.903]	-31.323
